id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
be-anderlecht,Constant Vanden Stock Stadium – Lotto Park,Anderlecht,Jupiler Pro League,Anderlecht,50.8342,4.2984,be,be-jupiler-pro-league,belgium_top_3,AND,be-jupiler-pro-league,2026-27,active,
be-antwerp,Bosuilstadion,Antwerp,Jupiler Pro League,Antwerp,51.232,4.4729,be,be-jupiler-pro-league,belgium_top_3,ANT,be-jupiler-pro-league,2026-27,active,
be-beveren,Freethiel Stadion,Beveren,Jupiler Pro League,Beveren,51.2096,4.2607,be,be-jupiler-pro-league,belgium_top_3,BEV,be-jupiler-pro-league,2026-27,active,
be-cercle-brugge,Jan Breydel Stadium,Cercle Brugge,Jupiler Pro League,Bruges,51.1933,3.1804,be,be-jupiler-pro-league,belgium_top_3,CER,be-jupiler-pro-league,2026-27,active,
be-charleroi,Stade du Pays de Charleroi,Charleroi,Jupiler Pro League,Charleroi,50.4144,4.4539,be,be-jupiler-pro-league,belgium_top_3,CHA,be-jupiler-pro-league,2026-27,active,
be-club-brugge,Jan Breydel Stadium,Club Brugge,Jupiler Pro League,Bruges,51.1933,3.1804,be,be-jupiler-pro-league,belgium_top_3,CBR,be-jupiler-pro-league,2026-27,active,
be-genk,Cegeka Arena,Genk,Jupiler Pro League,Genk,50.9654,5.533,be,be-jupiler-pro-league,belgium_top_3,GNK,be-jupiler-pro-league,2026-27,active,
be-gent,Planet Group Arena,Gent,Jupiler Pro League,Gent,51.016,3.735,be,be-jupiler-pro-league,belgium_top_3,GEN,be-jupiler-pro-league,2026-27,active,
be-kortrijk,Guldensporenstadion,Kortrijk,Jupiler Pro League,Kortrijk,50.8297,3.2642,be,be-jupiler-pro-league,belgium_top_3,KOR,be-jupiler-pro-league,2026-27,active,
be-raal-la-louviere,Stade du Tivoli,RAAL La Louviere,Jupiler Pro League,La Louviere,50.4755,4.1789,be,be-jupiler-pro-league,belgium_top_3,LOU,be-jupiler-pro-league,2026-27,active,
be-lommel-sk,Soevereinstadion,Lommel SK,Jupiler Pro League,Lommel,51.2322,5.3,be,be-jupiler-pro-league,belgium_top_3,LOM,be-jupiler-pro-league,2026-27,active,
