club_id,competition_id,season_id,membership_status,is_primary
cz-admira-prague,cz-bohemian-football-league-a,2025-26,historical,false
cz-aritma-prague,cz-bohemian-football-league-a,2025-26,historical,false
cz-arsenal-ceska-lipa,cz-bohemian-football-league-b,2025-26,historical,false
cz-artis-brno,cz-2-liga,2025-26,historical,false
cz-banik-most-sous,cz-bohemian-football-league-b,2025-26,historical,false
cz-banik-ostrava,cz-1-liga,2025-26,historical,false
cz-banik-ostrava-b,cz-2-liga,2025-26,historical,false
cz-benatky-nad-jizerou,cz-bohemian-football-league-b,2025-26,historical,false
cz-blansko,cz-moravian-silesian-football-league,2025-26,historical,false
cz-bohemians-1905,cz-1-liga,2025-26,historical,false
cz-bohemians-1905-b,cz-bohemian-football-league-a,2025-26,historical,false
cz-chrudim,cz-2-liga,2025-26,historical,false
cz-dukla-prague,cz-1-liga,2025-26,historical,false
cz-dukla-prague-b,cz-bohemian-football-league-a,2025-26,historical,false
cz-dynamo-ceske-budejovice,cz-2-liga,2025-26,historical,false
cz-dynamo-ceske-budejovice-b,cz-bohemian-football-league-a,2025-26,historical,false
cz-frydek-mistek,cz-moravian-silesian-football-league,2025-26,historical,false
cz-hanacka-slavia-kromeriz,cz-2-liga,2025-26,historical,false
cz-hlucin,cz-moravian-silesian-football-league,2025-26,historical,false
cz-hodonin,cz-moravian-silesian-football-league,2025-26,historical,false
cz-hradec-kralove,cz-1-liga,2025-26,historical,false
cz-hradec-kralove-b,cz-bohemian-football-league-b,2025-26,historical,false
cz-hranice,cz-moravian-silesian-football-league,2025-26,historical,false
cz-jablonec,cz-1-liga,2025-26,historical,false
cz-jablonec-b,cz-bohemian-football-league-b,2025-26,historical,false
cz-jiskra-domazlice,cz-bohemian-football-league-a,2025-26,historical,false
cz-jiskra-usti-nad-orlici,cz-bohemian-football-league-b,2025-26,historical,false
cz-karvina,cz-1-liga,2025-26,historical,false
cz-karvina-b,cz-moravian-silesian-football-league,2025-26,historical,false
cz-kladno,cz-bohemian-football-league-a,2025-26,historical,false
cz-kraluv-dvur,cz-bohemian-football-league-a,2025-26,historical,false
cz-loko-prague,cz-bohemian-football-league-a,2025-26,historical,false
cz-mlada-boleslav,cz-1-liga,2025-26,historical,false
cz-mlada-boleslav-b,cz-bohemian-football-league-b,2025-26,historical,false
cz-motorlet-prague,cz-bohemian-football-league-a,2025-26,historical,false
cz-neratovice-byskovice,cz-bohemian-football-league-b,2025-26,historical,false
cz-opava,cz-2-liga,2025-26,historical,false
cz-pardubice,cz-1-liga,2025-26,historical,false
cz-pardubice-b,cz-bohemian-football-league-b,2025-26,historical,false
cz-petrin-plzen,cz-bohemian-football-league-a,2025-26,historical,false
cz-pisek,cz-bohemian-football-league-a,2025-26,historical,false
cz-polanka-nad-odrou,cz-moravian-silesian-football-league,2025-26,historical,false
cz-pribram,cz-2-liga,2025-26,historical,false
cz-pribram-akademie,cz-bohemian-football-league-a,2025-26,historical,false
cz-prostejov,cz-2-liga,2025-26,historical,false
cz-sellier-and-bellot-vlasim,cz-2-liga,2025-26,historical,false
cz-sfk-vrchovina,cz-moravian-silesian-football-league,2025-26,historical,false
cz-sigma-olomouc,cz-1-liga,2025-26,historical,false
cz-sigma-olomouc-b,cz-moravian-silesian-football-league,2025-26,historical,false
cz-silon-taborsko,cz-2-liga,2025-26,historical,false
cz-silon-taborsko-akademie,cz-bohemian-football-league-a,2025-26,historical,false
cz-slavia-prague,cz-1-liga,2025-26,historical,false
cz-slavia-prague-b,cz-2-liga,2025-26,historical,false
cz-slavia-prague-c,cz-bohemian-football-league-a,2025-26,historical,false
cz-slovacko,cz-1-liga,2025-26,historical,false
cz-slovacko-b,cz-moravian-silesian-football-league,2025-26,historical,false
cz-slovan-liberec,cz-1-liga,2025-26,historical,false
cz-slovan-liberec-b,cz-bohemian-football-league-b,2025-26,historical,false
cz-slovan-velvary,cz-bohemian-football-league-b,2025-26,historical,false
cz-sokol-brozany,cz-bohemian-football-league-b,2025-26,historical,false
cz-sokol-hostoun,cz-bohemian-football-league-a,2025-26,historical,false
cz-sparta-kolin,cz-bohemian-football-league-b,2025-26,historical,false
cz-sparta-prague,cz-1-liga,2025-26,historical,false
cz-sparta-prague-b,cz-2-liga,2025-26,historical,false
cz-start-brno,cz-moravian-silesian-football-league,2025-26,historical,false
cz-teplice,cz-1-liga,2025-26,historical,false
cz-teplice-b,cz-bohemian-football-league-b,2025-26,historical,false
cz-trinec,cz-moravian-silesian-football-league,2025-26,historical,false
cz-unicov,cz-moravian-silesian-football-league,2025-26,historical,false
cz-unie-hlubina,cz-moravian-silesian-football-league,2025-26,historical,false
cz-varnsdorf,cz-bohemian-football-league-b,2025-26,historical,false
cz-velke-hamry,cz-bohemian-football-league-b,2025-26,historical,false
cz-viagem-usti-nad-labem,cz-2-liga,2025-26,historical,false
cz-viktoria-plzen,cz-1-liga,2025-26,historical,false
cz-viktoria-plzen-b,cz-bohemian-football-league-a,2025-26,historical,false
cz-viktoria-zizkov,cz-2-liga,2025-26,historical,false
cz-vitkovice,cz-moravian-silesian-football-league,2025-26,historical,false
cz-vsetin,cz-moravian-silesian-football-league,2025-26,historical,false
cz-vysocina-jihlava,cz-2-liga,2025-26,historical,false
cz-zapy,cz-bohemian-football-league-b,2025-26,historical,false
cz-zbrojovka-brno,cz-2-liga,2025-26,historical,false
cz-zbrojovka-brno-b,cz-moravian-silesian-football-league,2025-26,historical,false
cz-zlin,cz-1-liga,2025-26,historical,false
cz-zlin-b,cz-moravian-silesian-football-league,2025-26,historical,false
