id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
cz-admira-prague,Stadion FK Admira Praha,FK Admira Prague,Bohemian Football League - Gruppe A,Prague,50.125,14.456,cz,cz-bohemian-football-league-a,czech_top_3,AP,cz-bohemian-football-league-a,2026-27,active,
cz-aritma-prague,Areál SK Aritma Praha,SK Aritma Prague,Bohemian Football League - Gruppe A,Prague,50.0925,14.3261,cz,cz-bohemian-football-league-a,czech_top_3,AP,cz-bohemian-football-league-a,2026-27,active,
cz-arsenal-ceska-lipa,Městský stadion u Ploučnice,FK Arsenal Česká Lípa,2. liga,Česká Lípa,50.6868,14.5366,cz,cz-2-liga,czech_top_3,ACL,cz-2-liga,2026-27,active,
cz-artis-brno,Městský fotbalový stadion Srbská,SK Artis Brno,1. liga,Brno,49.2278,16.5837,cz,cz-1-liga,czech_top_3,AB,cz-1-liga,2026-27,active,
cz-banik-most-sous,Stadion Josefa Masopusta,FK Baník Most-Souš,Bohemian Football League - Gruppe B,Most,50.508,13.6414,cz,cz-bohemian-football-league-b,czech_top_3,BMS,cz-bohemian-football-league-b,2026-27,active,
cz-banik-ostrava,Městský stadion Ostrava,FC Baník Ostrava,1. liga,Ostrava,49.796,18.2549,cz,cz-1-liga,czech_top_3,BO,cz-1-liga,2026-27,active,
cz-banik-ostrava-b,Městský stadion Ostrava,FC Baník Ostrava B,2. liga,Ostrava,49.796,18.2549,cz,cz-2-liga,czech_top_3,BOB,cz-2-liga,2026-27,active,
cz-benatky-nad-jizerou,Městský stadion Benátky nad Jizerou,SK Benátky nad Jizerou,Bohemian Football League - Gruppe B,Benátky nad Jizerou,50.2922,14.8246,cz,cz-bohemian-football-league-b,czech_top_3,BNJ,cz-bohemian-football-league-b,2026-27,active,
cz-blansko,Stadion na Údolní,FK Blansko,Moravian-Silesian Football League,Blansko,49.363,16.644,cz,cz-moravian-silesian-football-league,czech_top_3,BLA,cz-moravian-silesian-football-league,2026-27,active,
cz-bohemians-1905,Ďolíček,Bohemians 1905,1. liga,Prague,50.067,14.4715,cz,cz-1-liga,czech_top_3,B1,cz-1-liga,2026-27,active,
