id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
en-afc-bournemouth,Dean Court,AFC Bournemouth,Premier League,Bournemouth,50.747,-1.8868,en,en-premier-league,england_top_4,BOU,en-premier-league,2026-27,active,
en-arsenal,Emirates Stadium,Arsenal,Premier League,London,51.555,-0.108333,en,en-premier-league,england_top_4,ARS,en-premier-league,2026-27,active,
en-aston-villa,Villa Park,Aston Villa,Premier League,Birmingham,52.509112,-1.884783,en,en-premier-league,england_top_4,AVL,en-premier-league,2026-27,active,
en-brentford,Brentford Community Stadium,Brentford,Premier League,London,51.4882,-0.3026,en,en-premier-league,england_top_4,BRE,en-premier-league,2026-27,active,
en-brighton-and-hove-albion,Falmer Stadium,Brighton & Hove Albion,Premier League,Falmer,50.861551,-0.083624,en,en-premier-league,england_top_4,BHA,en-premier-league,2026-27,active,
en-chelsea,Stamford Bridge,Chelsea,Premier League,London,51.481667,-0.191111,en,en-premier-league,england_top_4,CHE,en-premier-league,2026-27,active,
en-coventry-city,Coventry Building Society Arena,Coventry City,Premier League,Coventry,52.448,-1.495,en,en-premier-league,england_top_4,COV,en-premier-league,2026-27,active,
en-crystal-palace,Selhurst Park,Crystal Palace,Premier League,London,51.398333,-0.085556,en,en-premier-league,england_top_4,CRY,en-premier-league,2026-27,active,
en-everton,Hill Dickinson Stadium,Everton,Premier League,Liverpool,53.4251,-3.0028,en,en-premier-league,england_top_4,EVE,en-premier-league,2026-27,active,
en-fulham,Craven Cottage,Fulham,Premier League,London,51.475,-0.221667,en,en-premier-league,england_top_4,FUL,en-premier-league,2026-27,active,
en-hull-city,MKM Stadium,Hull City,Premier League,Kingston upon Hull,53.746,-0.368,en,en-premier-league,england_top_4,HUL,en-premier-league,2026-27,active,
en-ipswich-town,Portman Road,Ipswich Town,Premier League,Ipswich,52.055,1.145,en,en-premier-league,england_top_4,IPS,en-premier-league,2026-27,active,
en-leeds-united,Elland Road,Leeds United,Premier League,Leeds,53.7778,-1.5722,en,en-premier-league,england_top_4,LEE,en-premier-league,2026-27,active,
en-liverpool,Anfield,Liverpool,Premier League,Liverpool,53.430845,-2.960223,en,en-premier-league,england_top_4,LIV,en-premier-league,2026-27,active,
en-manchester-city,City of Manchester Stadium,Manchester City,Premier League,Manchester,53.483056,-2.200278,en,en-premier-league,england_top_4,MCI,en-premier-league,2026-27,active,
en-manchester-united,Old Trafford,Manchester United,Premier League,Trafford,53.463056,-2.291389,en,en-premier-league,england_top_4,MUN,en-premier-league,2026-27,active,
en-newcastle-united,St James' Park,Newcastle United,Premier League,Newcastle upon Tyne,54.9756,-1.621667,en,en-premier-league,england_top_4,NEW,en-premier-league,2026-27,active,
en-nottingham-forest,City Ground,Nottingham Forest,Premier League,West Bridgford,52.9399,-1.1329,en,en-premier-league,england_top_4,NFO,en-premier-league,2026-27,active,
en-sunderland,Stadium of Light,Sunderland,Premier League,Sunderland,54.9146,-1.3884,en,en-premier-league,england_top_4,SUN,en-premier-league,2026-27,active,
en-tottenham-hotspur,Tottenham Hotspur Stadium,Tottenham Hotspur,Premier League,London,51.6044,-0.0664,en,en-premier-league,england_top_4,TOT,en-premier-league,2026-27,active,
en-birmingham-city,St Andrew's,Birmingham City,Championship,Birmingham,52.476,-1.868,en,en-championship,england_top_4,BIR,en-championship,2026-27,active,
en-blackburn-rovers,Ewood Park,Blackburn Rovers,Championship,Blackburn,53.729,-2.49,en,en-championship,england_top_4,BLB,en-championship,2026-27,active,
en-bolton-wanderers,Toughsheet Community Stadium,Bolton Wanderers,Championship,Horwich,53.580556,-2.535556,en,en-championship,england_top_4,BOL,en-championship,2026-27,active,
en-bristol-city,Ashton Gate,Bristol City,Championship,Bristol,51.44,-2.62,en,en-championship,england_top_4,BRC,en-championship,2026-27,active,
en-burnley,Turf Moor,Burnley,Championship,Burnley,53.789,-2.248,en,en-championship,england_top_4,BUR,en-championship,2026-27,active,
en-cardiff-city,Cardiff City Stadium,Cardiff City,Championship,Cardiff,51.473,-3.203,en,en-championship,england_top_4,CAR,en-championship,2026-27,active,
en-charlton-athletic,The Valley,Charlton Athletic,Championship,London,51.487,0.036,en,en-championship,england_top_4,CHA,en-championship,2026-27,active,
en-derby-county,Pride Park,Derby County,Championship,Derby,52.915,-1.448,en,en-championship,england_top_4,DER,en-championship,2026-27,active,
en-lincoln-city,Sincil Bank,Lincoln City,Championship,Lincoln,53.2183,-0.5408,en,en-championship,england_top_4,LIN,en-championship,2026-27,active,
en-middlesbrough,Riverside Stadium,Middlesbrough,Championship,Middlesbrough,54.578,-1.217,en,en-championship,england_top_4,MID,en-championship,2026-27,active,
en-millwall,The Den,Millwall,Championship,London,51.487,-0.051,en,en-championship,england_top_4,MIL,en-championship,2026-27,active,
en-norwich-city,Carrow Road,Norwich City,Championship,Norwich,52.622,1.31,en,en-championship,england_top_4,NOR,en-championship,2026-27,active,
en-portsmouth,Fratton Park,Portsmouth,Championship,Portsmouth,50.796,-1.064,en,en-championship,england_top_4,POR,en-championship,2026-27,active,
en-preston-north-end,Deepdale,Preston North End,Championship,Preston,53.772,-2.688,en,en-championship,england_top_4,PNE,en-championship,2026-27,active,
en-queens-park-rangers,Loftus Road,Queens Park Rangers,Championship,London,51.509,-0.232,en,en-championship,england_top_4,QPR,en-championship,2026-27,active,
en-sheffield-united,Bramall Lane,Sheffield United,Championship,Sheffield,53.37,-1.47,en,en-championship,england_top_4,SHU,en-championship,2026-27,active,
en-southampton,St Mary's Stadium,Southampton,Championship,Southampton,50.906,-1.392,en,en-championship,england_top_4,SOU,en-championship,2026-27,active,
en-stoke-city,bet365 Stadium,Stoke City,Championship,Stoke-on-Trent,52.989,-2.175,en,en-championship,england_top_4,STK,en-championship,2026-27,active,
en-swansea-city,Swansea.com Stadium,Swansea City,Championship,Swansea,51.643,-3.935,en,en-championship,england_top_4,SWA,en-championship,2026-27,active,
en-watford,Vicarage Road,Watford,Championship,Watford,51.65,-0.402,en,en-championship,england_top_4,WAT,en-championship,2026-27,active,
en-west-bromwich-albion,The Hawthorns,West Bromwich Albion,Championship,West Bromwich,52.509,-1.963,en,en-championship,england_top_4,WBA,en-championship,2026-27,active,
en-west-ham-united,London Stadium,West Ham United,Championship,London,51.538611,-0.016389,en,en-championship,england_top_4,WHU,en-championship,2026-27,active,
en-wolverhampton-wanderers,Molineux Stadium,Wolverhampton Wanderers,Championship,Wolverhampton,52.590225,-2.130389,en,en-championship,england_top_4,WOL,en-championship,2026-27,active,
en-wrexham,Racecourse Ground,Wrexham,Championship,Wrexham,53.052,-3.004,en,en-championship,england_top_4,WRE,en-championship,2026-27,active,
en-afc-wimbledon,Plough Lane,AFC Wimbledon,League One,London,51.422,-0.208,en,en-league-one,england_top_4,AW,en-league-one,2026-27,active,
en-barnsley,Oakwell,Barnsley,League One,Barnsley,53.522222,-1.4675,en,en-league-one,england_top_4,BAR,en-league-one,2026-27,active,
en-blackpool,Bloomfield Road,Blackpool,League One,Blackpool,53.8049,-3.0481,en,en-league-one,england_top_4,BLP,en-league-one,2026-27,active,
en-bradford-city,Valley Parade,Bradford City,League One,Bradford,53.8036,-1.76,en,en-league-one,england_top_4,BRA,en-league-one,2026-27,active,
en-bromley,Hayes Lane,Bromley,League One,London,51.3901,0.0211,en,en-league-one,england_top_4,BRM,en-league-one,2026-27,active,
en-burton-albion,Pirelli Stadium,Burton Albion,League One,Burton upon Trent,52.8216,-1.6273,en,en-league-one,england_top_4,BUA,en-league-one,2026-27,active,
en-cambridge-united,Abbey Stadium,Cambridge United,League One,Cambridge,52.2121,0.1541,en,en-league-one,england_top_4,CAM,en-league-one,2026-27,active,
en-doncaster-rovers,Eco-Power Stadium,Doncaster Rovers,League One,Doncaster,53.5099,-1.1158,en,en-league-one,england_top_4,DON,en-league-one,2026-27,active,
en-huddersfield-town,Kirklees Stadium,Huddersfield Town,League One,Huddersfield,53.6543,-1.7684,en,en-league-one,england_top_4,HUD,en-league-one,2026-27,active,
en-leicester-city,King Power Stadium,Leicester City,League One,Leicester,52.62,-1.142,en,en-league-one,england_top_4,LEI,en-league-one,2026-27,active,
en-leyton-orient,Brisbane Road,Leyton Orient,League One,London,51.5602,-0.0127,en,en-league-one,england_top_4,LEY,en-league-one,2026-27,active,
en-luton-town,Kenilworth Road,Luton Town,League One,Luton,51.8841,-0.4316,en,en-league-one,england_top_4,LUT,en-league-one,2026-27,active,
en-mansfield-town,Field Mill,Mansfield Town,League One,Mansfield,53.13826,-1.20069,en,en-league-one,england_top_4,MAN,en-league-one,2026-27,active,
en-milton-keynes-dons,Stadium MK,Milton Keynes Dons,League One,Milton Keynes,52.0097,-0.7334,en,en-league-one,england_top_4,MKD,en-league-one,2026-27,active,
en-notts-county,Meadow Lane,Notts County,League One,Nottingham,52.9426,-1.1372,en,en-league-one,england_top_4,NOT,en-league-one,2026-27,active,
en-oxford-united,Kassam Stadium,Oxford United,League One,Oxford,51.716,-1.208,en,en-league-one,england_top_4,OXF,en-league-one,2026-27,active,
en-peterborough-united,London Road Stadium,Peterborough United,League One,Peterborough,52.5647,-0.2402,en,en-league-one,england_top_4,PET,en-league-one,2026-27,active,
en-plymouth-argyle,Home Park,Plymouth Argyle,League One,Plymouth,50.388,-4.1508,en,en-league-one,england_top_4,PLY,en-league-one,2026-27,active,
en-reading,Madejski Stadium,Reading,League One,Reading,51.4224,-0.9826,en,en-league-one,england_top_4,REA,en-league-one,2026-27,active,
en-sheffield-wednesday,Hillsborough Stadium,Sheffield Wednesday,League One,Sheffield,53.411,-1.5,en,en-league-one,england_top_4,SHW,en-league-one,2026-27,active,
en-stevenage,Broadhall Way,Stevenage,League One,Stevenage,51.89,-0.19361,en,en-league-one,england_top_4,STE,en-league-one,2026-27,active,
en-stockport-county,Edgeley Park,Stockport County,League One,Stockport,53.4083,-2.1494,en,en-league-one,england_top_4,STO,en-league-one,2026-27,active,
en-wigan-athletic,Brick Community Stadium,Wigan Athletic,League One,Wigan,53.547778,-2.653889,en,en-league-one,england_top_4,WIG,en-league-one,2026-27,active,
en-wycombe-wanderers,Adams Park,Wycombe Wanderers,League One,High Wycombe,51.6286,-0.7482,en,en-league-one,england_top_4,WYC,en-league-one,2026-27,active,
en-accrington-stanley,Crown Ground,Accrington Stanley,League Two,Accrington,53.7652,-2.3709,en,en-league-two,england_top_4,ACC,en-league-two,2026-27,active,
en-barnet,The Hive Stadium,Barnet,League Two,London,51.65309,-0.2002261,en,en-league-two,england_top_4,BNT,en-league-two,2026-27,active,
en-bristol-rovers,Memorial Stadium,Bristol Rovers,League Two,Bristol,51.4862,-2.5831,en,en-league-two,england_top_4,BRR,en-league-two,2026-27,active,
en-cheltenham-town,Whaddon Road,Cheltenham Town,League Two,Cheltenham,51.9062,-2.0602,en,en-league-two,england_top_4,CHT,en-league-two,2026-27,active,
en-chesterfield,SMH Group Stadium,Chesterfield,League Two,Chesterfield,53.2536,-1.425,en,en-league-two,england_top_4,CHF,en-league-two,2026-27,active,
en-colchester-united,Colchester Community Stadium,Colchester United,League Two,Colchester,51.9229,0.897,en,en-league-two,england_top_4,COL,en-league-two,2026-27,active,
en-crawley-town,Broadfield Stadium,Crawley Town,League Two,Crawley,51.0997,-0.1947,en,en-league-two,england_top_4,CRW,en-league-two,2026-27,active,
en-crewe-alexandra,Gresty Road,Crewe Alexandra,League Two,Crewe,53.087419,-2.435747,en,en-league-two,england_top_4,CRE,en-league-two,2026-27,active,
en-exeter-city,St. James Park,Exeter City,League Two,Exeter,50.7307,-3.5211,en,en-league-two,england_top_4,EXE,en-league-two,2026-27,active,
en-fleetwood-town,Highbury Stadium,Fleetwood Town,League Two,Fleetwood,53.9167,-3.0248,en,en-league-two,england_top_4,FLE,en-league-two,2026-27,active,
en-gillingham,Priestfield Stadium,Gillingham,League Two,Gillingham,51.3843,0.5607,en,en-league-two,england_top_4,GIL,en-league-two,2026-27,active,
en-grimsby-town,Blundell Park,Grimsby Town,League Two,Cleethorpes,53.5702,-0.0464,en,en-league-two,england_top_4,GRI,en-league-two,2026-27,active,
en-newport-county,Rodney Parade,Newport County,League Two,Newport,51.5882,-2.988,en,en-league-two,england_top_4,NEWP,en-league-two,2026-27,active,
en-northampton-town,Sixfields Stadium,Northampton Town,League Two,Northampton,52.2405,-0.9027,en,en-league-two,england_top_4,NHT,en-league-two,2026-27,active,
en-oldham-athletic,Boundary Park,Oldham Athletic,League Two,Oldham,53.5553,-2.1286,en,en-league-two,england_top_4,OLD,en-league-two,2026-27,active,
en-port-vale,Vale Park,Port Vale,League Two,Stoke-on-Trent,53.0497,-2.1925,en,en-league-two,england_top_4,PVA,en-league-two,2026-27,active,
en-rochdale,Crown Oil Arena,Rochdale,League Two,Rochdale,53.620833,-2.18,en,en-league-two,england_top_4,ROC,en-league-two,2026-27,active,
en-rotherham-united,New York Stadium,Rotherham United,League Two,Rotherham,53.4279,-1.362,en,en-league-two,england_top_4,ROT,en-league-two,2026-27,active,
en-salford-city,Moor Lane,Salford City,League Two,Salford,53.5136,-2.2768,en,en-league-two,england_top_4,SAL,en-league-two,2026-27,active,
en-shrewsbury-town,New Meadow,Shrewsbury Town,League Two,Shrewsbury,52.6886,-2.7492,en,en-league-two,england_top_4,SHR,en-league-two,2026-27,active,
en-swindon-town,County Ground,Swindon Town,League Two,Swindon,51.5584,-1.781,en,en-league-two,england_top_4,SWI,en-league-two,2026-27,active,
en-tranmere-rovers,Prenton Park,Tranmere Rovers,League Two,Birkenhead,53.3738,-3.0325,en,en-league-two,england_top_4,TRA,en-league-two,2026-27,active,
en-walsall,Bescot Stadium,Walsall,League Two,Walsall,52.5654,-1.9907,en,en-league-two,england_top_4,WAL,en-league-two,2026-27,active,
en-york-city,LNER Community Stadium,York City,League Two,York,53.984328,-1.052955,en,en-league-two,england_top_4,YOR,en-league-two,2026-27,active,
en-barrow,Holker Street,Barrow,Nedrykkere,Barrow-in-Furness,54.1233,-3.2349,en,,england_top_4,BWR,,2026-27,relegated,
en-harrogate-town,Wetherby Road,Harrogate Town,Nedrykkere,Harrogate,53.99166,-1.51525,en,,england_top_4,HAR,,2026-27,relegated,
