id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
fr-angers,Stade Raymond Kopa,Angers,Ligue 1,Angers,47.4606,-0.5308,fr,fr-ligue-1,france_top_3,ANG,fr-ligue-1,2026-27,active,
fr-auxerre,Stade Abbé-Deschamps,Auxerre,Ligue 1,Auxerre,47.7867,3.5883,fr,fr-ligue-1,france_top_3,AUX,fr-ligue-1,2026-27,active,
fr-brest,Stade Francis-Le Blé,Brest,Ligue 1,Brest,48.402,-4.4616,fr,fr-ligue-1,france_top_3,BRE,fr-ligue-1,2026-27,active,
fr-le-havre,Stade Océane,Le Havre,Ligue 1,Le Havre,49.4989,0.1693,fr,fr-ligue-1,france_top_3,LHE,fr-ligue-1,2026-27,active,
fr-le-mans,Stade Marie-Marvingt,Le Mans,Ligue 1,Le Mans,47.9593,0.224,fr,fr-ligue-1,france_top_3,LME,fr-ligue-1,2026-27,active,
fr-lens,Stade Bollaert-Delelis,Lens,Ligue 1,Lens,50.4329,2.8158,fr,fr-ligue-1,france_top_3,LEN,fr-ligue-1,2026-27,active,
fr-lille,Stade Pierre-Mauroy,Lille,Ligue 1,Villeneuve-d'Ascq,50.6119,3.1304,fr,fr-ligue-1,france_top_3,LIL,fr-ligue-1,2026-27,active,
fr-lorient,Stade du Moustoir,Lorient,Ligue 1,Lorient,47.7487,-3.3687,fr,fr-ligue-1,france_top_3,LOR,fr-ligue-1,2026-27,active,
fr-lyon,Groupama Stadium,Lyon,Ligue 1,Décines-Charpieu,45.7653,4.982,fr,fr-ligue-1,france_top_3,LYO,fr-ligue-1,2026-27,active,
fr-marseille,Stade Vélodrome,Marseille,Ligue 1,Marseille,43.2698,5.3959,fr,fr-ligue-1,france_top_3,MAR,fr-ligue-1,2026-27,active,
fr-monaco,Stade Louis II,Monaco,Ligue 1,Monaco,43.7276,7.4156,fr,fr-ligue-1,france_top_3,MON,fr-ligue-1,2026-27,active,
