id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
de-fc-koln,RheinEnergieSTADION,1. FC Köln,Bundesliga,Köln,50.9335055,6.8751167,de,de-bundesliga,germany_top_3,KOE,de-bundesliga,2026-27,active,
de-union-berlin,Stadion An der Alten Försterei,1. FC Union Berlin,Bundesliga,Berlin,52.4569741,13.5680789,de,de-bundesliga,germany_top_3,FCU,de-bundesliga,2026-27,active,
de-mainz-05,MEWA ARENA,1. FSV Mainz 05,Bundesliga,Mainz,49.9839451,8.2244738,de,de-bundesliga,germany_top_3,M05,de-bundesliga,2026-27,active,
de-bayer-leverkusen,BayArena,Bayer 04 Leverkusen,Bundesliga,Leverkusen,51.0381439,7.0030964,de,de-bundesliga,germany_top_3,B04,de-bundesliga,2026-27,active,
de-borussia-dortmund,SIGNAL IDUNA PARK,Borussia Dortmund,Bundesliga,Dortmund,51.4924922,7.4518549,de,de-bundesliga,germany_top_3,BVB,de-bundesliga,2026-27,active,
de-borussia-monchengladbach,BORUSSIA-PARK,Borussia Mönchengladbach,Bundesliga,Mönchengladbach,51.174625,6.3854094,de,de-bundesliga,germany_top_3,BMG,de-bundesliga,2026-27,active,
de-eintracht-frankfurt,Deutsche Bank Park,Eintracht Frankfurt,Bundesliga,Frankfurt am Main,50.0686103,8.6454154,de,de-bundesliga,germany_top_3,SGE,de-bundesliga,2026-27,active,
de-fc-augsburg,WWK ARENA,FC Augsburg,Bundesliga,Augsburg,48.3231179,10.885879,de,de-bundesliga,germany_top_3,FCA,de-bundesliga,2026-27,active,
de-bayern-munchen,Allianz Arena,FC Bayern München,Bundesliga,München,48.2187901,11.6236227,de,de-bundesliga,germany_top_3,FCB,de-bundesliga,2026-27,active,
de-schalke-04,VELTINS-Arena,FC Schalke 04,Bundesliga,Gelsenkirchen,51.5545938,7.0676001,de,de-bundesliga,germany_top_3,S04,de-bundesliga,2026-27,active,
de-hamburger-sv,Volksparkstadion,Hamburger SV,Bundesliga,Hamburg,53.5871535,9.8987056,de,de-bundesliga,germany_top_3,HSV,de-bundesliga,2026-27,active,
