club_id,competition_id,season_id,membership_status,is_primary
gr-aek-athens,gr-super-league,2025-26,historical,false
gr-ae-kifisia,gr-super-league,2025-26,historical,false
gr-ael,gr-super-league,2025-26,historical,false
gr-aris,gr-super-league,2025-26,historical,false
gr-asteras-tripolis,gr-super-league,2025-26,historical,false
gr-atromitos,gr-super-league,2025-26,historical,false
gr-levadiakos,gr-super-league,2025-26,historical,false
gr-ofi,gr-super-league,2025-26,historical,false
gr-olympiacos,gr-super-league,2025-26,historical,false
gr-panathinaikos,gr-super-league,2025-26,historical,false
gr-panetolikos,gr-super-league,2025-26,historical,false
gr-panserraikos,gr-super-league,2025-26,historical,false
gr-paok,gr-super-league,2025-26,historical,false
gr-volos,gr-super-league,2025-26,historical,false
gr-anagennisi-karditsa,gr-super-league-2,2025-26,historical,false
gr-asteras-tripolis-b,gr-super-league-2,2025-26,historical,false
gr-athens-kallithea,gr-super-league-2,2025-26,historical,false
gr-chania,gr-super-league-2,2025-26,historical,false
gr-egaleo,gr-super-league-2,2025-26,historical,false
gr-hellas-syros,gr-super-league-2,2025-26,historical,false
gr-ilioupoli,gr-super-league-2,2025-26,historical,false
gr-iraklis,gr-super-league-2,2025-26,historical,false
gr-kalamata,gr-super-league-2,2025-26,historical,false
gr-kampaniakos,gr-super-league-2,2025-26,historical,false
gr-kavala,gr-super-league-2,2025-26,historical,false
gr-makedonikos,gr-super-league-2,2025-26,historical,false
gr-marko,gr-super-league-2,2025-26,historical,false
gr-nestos-chrysoupoli,gr-super-league-2,2025-26,historical,false
gr-niki-volos,gr-super-league-2,2025-26,historical,false
gr-olympiacos-b,gr-super-league-2,2025-26,historical,false
gr-panargiakos,gr-super-league-2,2025-26,historical,false
gr-panionios,gr-super-league-2,2025-26,historical,false
gr-paok-b,gr-super-league-2,2025-26,historical,false
gr-pas-giannina,gr-super-league-2,2025-26,historical,false
