id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
gr-aek-athens,OPAP Arena,AEK Athens,Super League,Athens,38.0361,23.7559,gr,gr-super-league,greece_top_2,AEK,gr-super-league,2026-27,active,
gr-ae-kifisia,Leoforos Alexandras Stadium,A.E. Kifisia,Super League,Athens,37.9932,23.7577,gr,gr-super-league,greece_top_2,KIF,gr-super-league,2026-27,active,
gr-aris,Kleanthis Vikelidis Stadium,Aris,Super League,Thessaloniki,40.6118,22.9682,gr,gr-super-league,greece_top_2,ARI,gr-super-league,2026-27,active,
gr-asteras-tripolis,Theodoros Kolokotronis Stadium,Asteras Tripolis,Super League,Tripoli,37.5163,22.3728,gr,gr-super-league,greece_top_2,AST,gr-super-league,2026-27,active,
gr-atromitos,Peristeri Stadium,Atromitos,Super League,Athens,38.0133,23.6886,gr,gr-super-league,greece_top_2,ATR,gr-super-league,2026-27,active,
gr-iraklis,Kaftanzoglio Stadium,Iraklis,Super League,Thessaloniki,40.6265,22.9777,gr,gr-super-league,greece_top_2,IRA,gr-super-league,2026-27,active,
gr-kalamata,Kalamata Municipal Stadium,Kalamata,Super League,Kalamata,37.0442,22.1141,gr,gr-super-league,greece_top_2,KAL,gr-super-league,2026-27,active,
gr-levadiakos,Levadia Municipal Stadium,Levadiakos,Super League,Livadeia,38.4374,22.8767,gr,gr-super-league,greece_top_2,LEV,gr-super-league,2026-27,active,
gr-ofi,Pankritio Stadium,OFI,Super League,Heraklion,35.3387,25.0905,gr,gr-super-league,greece_top_2,OFI,gr-super-league,2026-27,active,
gr-olympiacos,Karaiskakis Stadium,Olympiacos,Super League,Piraeus,37.9472,23.6643,gr,gr-super-league,greece_top_2,OLY,gr-super-league,2026-27,active,
gr-panathinaikos,Athens Olympic Stadium,Panathinaikos,Super League,Athens,38.0370,23.7870,gr,gr-super-league,greece_top_2,PAN,gr-super-league,2026-27,active,
gr-panetolikos,Panetolikos Stadium,Panetolikos,Super League,Agrinio,38.6241,21.4080,gr,gr-super-league,greece_top_2,PANE,gr-super-league,2026-27,active,
gr-paok,Toumba Stadium,PAOK,Super League,Thessaloniki,40.6113,22.9723,gr,gr-super-league,greece_top_2,PAOK,gr-super-league,2026-27,active,
gr-volos,Panthessaliko Stadium,Volos,Super League,Volos,39.3762,22.9322,gr,gr-super-league,greece_top_2,VOL,gr-super-league,2026-27,active,
gr-ael,AEL FC Arena,AEL,Super League 2,Larissa,39.6117,22.4300,gr,gr-super-league-2,greece_top_2,AEL,gr-super-league-2,2026-27,active,
gr-anagennisi-karditsa,Karditsa Municipal Stadium,Anagennisi Karditsa,Super League 2,Karditsa,39.3650,21.9210,gr,gr-super-league-2,greece_top_2,AKA,gr-super-league-2,2026-27,active,
gr-apollon-kalamaria,Kalamaria Stadium,Apollon Kalamaria,Super League 2,Kalamaria,40.5820,22.9570,gr,gr-super-league-2,greece_top_2,APK,gr-super-league-2,2026-27,active,
gr-asteras-tripolis-b,Theodoros Kolokotronis Stadium,Asteras Tripolis B,Super League 2,Tripoli,37.5163,22.3728,gr,gr-super-league-2,greece_top_2,ASB,gr-super-league-2,2026-27,active,
gr-athens-kallithea,Grigoris Lamprakis Stadium,Athens Kallithea,Super League 2,Kallithea,37.9565,23.7014,gr,gr-super-league-2,greece_top_2,AKA2,gr-super-league-2,2026-27,active,
gr-hellas-syros,Ermoupoli Municipal Stadium,Hellas Syros,Super League 2,Ermoupoli,37.4430,24.9420,gr,gr-super-league-2,greece_top_2,HSY,gr-super-league-2,2026-27,active,
gr-marko,Municipal Stadium of Markopoulo,Marko,Super League 2,Markopoulo,37.8830,23.9300,gr,gr-super-league-2,greece_top_2,MAR,gr-super-league-2,2026-27,active,
gr-nestos-chrysoupoli,Chrysoupoli Municipal Stadium,Nestos Chrysoupoli,Super League 2,Chrysoupoli,40.9850,24.6940,gr,gr-super-league-2,greece_top_2,NES,gr-super-league-2,2026-27,active,
gr-niki-volos,Pantelis Magoulas Stadium,Niki Volos,Super League 2,Volos,39.3590,22.9530,gr,gr-super-league-2,greece_top_2,NIK,gr-super-league-2,2026-27,active,
gr-olympiacos-b,Rentis Training Centre,Olympiacos B,Super League 2,Piraeus,37.9620,23.6650,gr,gr-super-league-2,greece_top_2,OLB,gr-super-league-2,2026-27,active,
gr-panionios,Nea Smyrni Stadium,Panionios,Super League 2,Nea Smyrni,37.9461,23.7140,gr,gr-super-league-2,greece_top_2,PNI,gr-super-league-2,2026-27,active,
gr-panserraikos,Serres Municipal Stadium,Panserraikos,Super League 2,Serres,41.0902,23.5493,gr,gr-super-league-2,greece_top_2,PSR,gr-super-league-2,2026-27,active,
gr-panthrakikos,Komotini Municipal Stadium,Panthrakikos,Super League 2,Komotini,41.1210,25.4040,gr,gr-super-league-2,greece_top_2,PTH,gr-super-league-2,2026-27,active,
gr-paok-b,Kalamaria Stadium,PAOK B,Super League 2,Kalamaria,40.5820,22.9570,gr,gr-super-league-2,greece_top_2,PKB,gr-super-league-2,2026-27,active,
gr-pas-pyrgos,Pyrgos Municipal Stadium,PAS Pyrgos,Super League 2,Pyrgos,37.6740,21.4410,gr,gr-super-league-2,greece_top_2,PSP,gr-super-league-2,2026-27,active,
gr-zakynthos,Zakynthos Municipal Stadium,Zakynthos,Super League 2,Zakynthos,37.7820,20.8970,gr,gr-super-league-2,greece_top_2,ZAK,gr-super-league-2,2026-27,active,
gr-lamia,Athanasios Diakos Stadium,Lamia,Nedrykkere,Lamia,38.9000,22.4340,gr,,greece_top_2,LAM,,2026-27,relegated,
gr-kavala,Anthi Karagianni Stadium,Kavala,Nedrykkere,Kavala,40.9390,24.4010,gr,,greece_top_2,KAV,,2026-27,relegated,
gr-kampaniakos,Chalastra Municipal Stadium,Kampaniakos,Nedrykkere,Chalastra,40.6260,22.7350,gr,,greece_top_2,KAM,,2026-27,relegated,
gr-pas-giannina,Zosimades Stadium,PAS Giannina,Nedrykkere,Ioannina,39.6650,20.8520,gr,,greece_top_2,PAS,,2026-27,relegated,
gr-makedonikos,Makedonikos Stadium,Makedonikos,Nedrykkere,Efkarpia,40.6880,22.9480,gr,,greece_top_2,MAK,,2026-27,relegated,
gr-egaleo,Stavros Mavrothalassitis Stadium,Egaleo,Nedrykkere,Aigaleo,37.9920,23.6810,gr,,greece_top_2,EGA,,2026-27,relegated,
gr-chania,Perivolia Municipal Stadium,Chania,Nedrykkere,Chania,35.4980,24.0350,gr,,greece_top_2,CHA,,2026-27,relegated,
gr-ilioupoli,Ilioupoli Municipal Stadium,Ilioupoli,Nedrykkere,Ilioupoli,37.9310,23.7700,gr,,greece_top_2,ILI,,2026-27,relegated,
gr-panargiakos,Argos Municipal Stadium,Panargiakos,Nedrykkere,Argos,37.6330,22.7270,gr,,greece_top_2,PAG,,2026-27,relegated,
