id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
lt-banga,Gargždai Stadium,Banga,TOPLYGA,Gargždai,55.7114,21.3944,lt,lt-toplyga,lithuania_top_3,BAN,lt-toplyga,2026,active,
lt-dziugas,Telšiai Central Stadium,Džiugas,TOPLYGA,Telšiai,55.9864,22.2481,lt,lt-toplyga,lithuania_top_3,DZI,lt-toplyga,2026,active,
lt-hegelmann,Raudondvaris Stadium,Hegelmann,TOPLYGA,Raudondvaris,54.90417,23.93028,lt,lt-toplyga,lithuania_top_3,HEG,lt-toplyga,2026,active,
lt-kauno-zalgiris,Darius and Girėnas Stadium,Kauno Žalgiris,TOPLYGA,Kaunas,54.89722,23.88611,lt,lt-toplyga,lithuania_top_3,KZ,lt-toplyga,2026,active,
lt-panevezys,Aukštaitija Stadium,Panevėžys,TOPLYGA,Panevėžys,55.733,24.35,lt,lt-toplyga,lithuania_top_3,PAN,lt-toplyga,2026,active,
lt-riteriai,LFF Stadium,Riteriai,TOPLYGA,Vilnius,54.66861,25.29417,lt,lt-toplyga,lithuania_top_3,RIT,lt-toplyga,2026,active,
lt-siauliai,Savivaldybė Stadium,FA Šiauliai,TOPLYGA,Šiauliai,55.933,23.317,lt,lt-toplyga,lithuania_top_3,SIA,lt-toplyga,2026,active,
lt-suduva,Marijampolė Football Arena,Sūduva,TOPLYGA,Marijampolė,54.54722,23.35,lt,lt-toplyga,lithuania_top_3,SUD,lt-toplyga,2026,active,
lt-transinvest,FK Transinvest stadionas,TransINVEST,TOPLYGA,Galinė,54.8076381981314,25.16858209464906,lt,lt-toplyga,lithuania_top_3,TRI,lt-toplyga,2026,active,
lt-zalgiris,LFF Stadium,Žalgiris,TOPLYGA,Vilnius,54.66861,25.29417,lt,lt-toplyga,lithuania_top_3,ZAL,lt-toplyga,2026,active,
lt-atmosfera,Mažeikiai Stadium,Atmosfera,I Lyga,Mažeikiai,56.31111,22.33611,lt,lt-i-lyga,lithuania_top_3,ATM,lt-i-lyga,2026,active,
lt-babrungas,Plungė Stadium,Babrungas,I Lyga,Plungė,55.91111,21.84167,lt,lt-i-lyga,lithuania_top_3,BAB,lt-i-lyga,2026,active,
lt-bfa-vilnius,BFA Arena,BFA Vilnius,I Lyga,Vilnius,54.68722,25.28,lt,lt-i-lyga,lithuania_top_3,BFA,lt-i-lyga,2026,active,
lt-neptunas,Klaipėdos dirbtinės dangos aikštė,Neptūnas,I Lyga,Klaipėda,55.708722,21.132084,lt,lt-i-lyga,lithuania_top_3,NEP,lt-i-lyga,2026,active,
lt-minija,Kretinga Stadium,Minija,I Lyga,Kretinga,55.89,21.24222,lt,lt-i-lyga,lithuania_top_3,MIN,lt-i-lyga,2026,active,
lt-garliava,Stadium of the school of Adomas Mitkus,Garliava,I Lyga,Garliava,54.81667,23.86667,lt,lt-i-lyga,lithuania_top_3,GAR,lt-i-lyga,2026,active,
lt-be1-nfa,Jonava Stadium,Be1 NFA,I Lyga,Jonava,55.07222,24.28056,lt,lt-i-lyga,lithuania_top_3,BE1,lt-i-lyga,2026,active,
lt-nevezis,Kėdainiai Stadium,Nevėžis,I Lyga,Kėdainiai,55.283,23.967,lt,lt-i-lyga,lithuania_top_3,NEV,lt-i-lyga,2026,active,
lt-dainava,Alytus Stadium,Dainava,I Lyga,Alytus,54.40139,24.04917,lt,lt-i-lyga,lithuania_top_3,DAI,lt-i-lyga,2026,active,
lt-jonava,Jonavos centrinis stadionas,Jonava,I Lyga,Jonava,55.07222,24.28056,lt,lt-i-lyga,lithuania_top_3,JON,lt-i-lyga,2026,active,
lt-ekranas,Žemynos stadionas,Ekranas,I Lyga,Panevėžys,55.733,24.35,lt,lt-i-lyga,lithuania_top_3,EKR,lt-i-lyga,2026,active,
lt-tauras,Vytautas Stadium,Tauras,I Lyga,Tauragė,55.25222,22.28972,lt,lt-i-lyga,lithuania_top_3,TAU,lt-i-lyga,2026,active,
lt-zalgiris-b,LFF Stadium,Žalgiris B,I Lyga,Vilnius,54.68722,25.28,lt,lt-i-lyga,lithuania_top_3,ZLB,lt-i-lyga,2026,active,
