id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
nl-ado-den-haag,WerkTalent Stadion,ADO Den Haag,Eredivisie,The Hague,52.0629,4.3831,nl,nl-eredivisie,netherlands_top_3,ADO,nl-eredivisie,2026-27,active,
nl-ajax,Johan Cruyff Arena,Ajax,Eredivisie,Amsterdam,52.3142,4.9418,nl,nl-eredivisie,netherlands_top_3,AJA,nl-eredivisie,2026-27,active,
nl-alkmaar,AFAS Stadion,Alkmaar,Eredivisie,Alkmaar,52.6127,4.7421,nl,nl-eredivisie,netherlands_top_3,AZA,nl-eredivisie,2026-27,active,
nl-cambuur,Kooi Stadion,Cambuur,Eredivisie,Leeuwarden,53.1926,5.8185,nl,nl-eredivisie,netherlands_top_3,CAM,nl-eredivisie,2026-27,active,
nl-excelsior,Van Donge & De Roo Stadion,Excelsior,Eredivisie,Rotterdam,51.9163,4.5209,nl,nl-eredivisie,netherlands_top_3,EXC,nl-eredivisie,2026-27,active,
nl-feyenoord,De Kuip,Feyenoord,Eredivisie,Rotterdam,51.8938,4.523,nl,nl-eredivisie,netherlands_top_3,FEY,nl-eredivisie,2026-27,active,
nl-sittard,Fortuna Sittard Stadion,Sittard,Eredivisie,Sittard,50.9985,5.8642,nl,nl-eredivisie,netherlands_top_3,SIT,nl-eredivisie,2026-27,active,
nl-ga-eagles,De Adelaarshorst,G.A. Eagles,Eredivisie,Deventer,52.2554,6.1802,nl,nl-eredivisie,netherlands_top_3,GAE,nl-eredivisie,2026-27,active,
nl-groningen,Euroborg,Groningen,Eredivisie,Groningen,53.2054,6.5929,nl,nl-eredivisie,netherlands_top_3,GRO,nl-eredivisie,2026-27,active,
nl-heerenveen,Abe Lenstra Stadion,Heerenveen,Eredivisie,Heerenveen,52.9587,5.9365,nl,nl-eredivisie,netherlands_top_3,HEE,nl-eredivisie,2026-27,active,
nl-nijmegen,Goffertstadion,Nijmegen,Eredivisie,Nijmegen,51.8239,5.8374,nl,nl-eredivisie,netherlands_top_3,NEC,nl-eredivisie,2026-27,active,
nl-zwolle,MAC³PARK Stadion,Zwolle,Eredivisie,Zwolle,52.5168,6.1221,nl,nl-eredivisie,netherlands_top_3,ZWO,nl-eredivisie,2026-27,active,
nl-psv,Philips Stadion,PSV,Eredivisie,Eindhoven,51.4418,5.4674,nl,nl-eredivisie,netherlands_top_3,PSV,nl-eredivisie,2026-27,active,
nl-sparta-rotterdam,Sparta Stadion Het Kasteel,Sparta Rotterdam,Eredivisie,Rotterdam,51.9201,4.433,nl,nl-eredivisie,netherlands_top_3,SPR,nl-eredivisie,2026-27,active,
