id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
pl-cracovia,Marshal Jozef Pilsudski Stadium,Cracovia,Ekstraklasa,Krakow,50.0647,19.945,pl,pl-ekstraklasa,poland_top_3,CRA,pl-ekstraklasa,2026-27,active,
pl-gks-katowice,Arena Katowice,GKS Katowice,Ekstraklasa,Katowice,50.267943,19.025468,pl,pl-ekstraklasa,poland_top_3,GKS,pl-ekstraklasa,2026-27,active,
pl-gornik-zabrze,Ernest Pohl Stadium,Gornik Zabrze,Ekstraklasa,Zabrze,50.299744,18.772735,pl,pl-ekstraklasa,poland_top_3,GOR,pl-ekstraklasa,2026-27,active,
pl-jagiellonia-bialystok,Chorten Arena,Jagiellonia Bialystok,Ekstraklasa,Bialystok,53.1325,23.1688,pl,pl-ekstraklasa,poland_top_3,JAG,pl-ekstraklasa,2026-27,active,
pl-korona-kielce,Exbud Arena,Korona Kielce,Ekstraklasa,Kielce,50.8661,20.6286,pl,pl-ekstraklasa,poland_top_3,KOR,pl-ekstraklasa,2026-27,active,
pl-lech-poznan,Enea Stadium,Lech Poznan,Ekstraklasa,Poznan,52.4064,16.9252,pl,pl-ekstraklasa,poland_top_3,LPO,pl-ekstraklasa,2026-27,active,
pl-legia-warsaw,Polish Army Stadium,Legia Warsaw,Ekstraklasa,Warsaw,52.2297,21.0122,pl,pl-ekstraklasa,poland_top_3,LEG,pl-ekstraklasa,2026-27,active,
pl-motor-lublin,Motor Lublin Arena,Motor Lublin,Ekstraklasa,Lublin,51.2465,22.5684,pl,pl-ekstraklasa,poland_top_3,MOT,pl-ekstraklasa,2026-27,active,
pl-piast-gliwice,Piotr Wieczorek Stadium,Piast Gliwice,Ekstraklasa,Gliwice,50.2945,18.6714,pl,pl-ekstraklasa,poland_top_3,PIA,pl-ekstraklasa,2026-27,active,
pl-pogon-szczecin,Florian Krygier Stadium,Pogon Szczecin,Ekstraklasa,Szczecin,53.4285,14.5528,pl,pl-ekstraklasa,poland_top_3,POG,pl-ekstraklasa,2026-27,active,
pl-radomiak-radom,Czachor Brothers Stadium,Radomiak Radom,Ekstraklasa,Radom,51.4027,21.1471,pl,pl-ekstraklasa,poland_top_3,RAD,pl-ekstraklasa,2026-27,active,
pl-rakow-czestochowa,Miejski Stadion Pilkarski Rakow,Rakow Czestochowa,Ekstraklasa,Czestochowa,50.7914,19.0994,pl,pl-ekstraklasa,poland_top_3,RAK,pl-ekstraklasa,2026-27,active,
pl-slask-wroclaw,Tarczynski Arena Wroclaw,Slask Wroclaw,Ekstraklasa,Wroclaw,51.1079,17.0385,pl,pl-ekstraklasa,poland_top_3,SLA,pl-ekstraklasa,2026-27,active,
pl-widzew-lodz,Widzew Lodz Stadium,Widzew Lodz,Ekstraklasa,Lodz,51.7592,19.456,pl,pl-ekstraklasa,poland_top_3,WID,pl-ekstraklasa,2026-27,active,
pl-wieczysta-krakow,Henryk Reyman Synerise Arena,Wieczysta Krakow,Ekstraklasa,Krakow,50.0709,19.9373,pl,pl-ekstraklasa,poland_top_3,WIE,pl-ekstraklasa,2026-27,active,
pl-wisla-krakow,Henryk Reyman Synerise Arena,Wisla Krakow,Ekstraklasa,Krakow,50.0647,19.945,pl,pl-ekstraklasa,poland_top_3,WKR,pl-ekstraklasa,2026-27,active,
pl-wisla-plock,Kazimierz Gorski Orlen Stadium,Wisla Plock,Ekstraklasa,Plock,52.5468,19.7064,pl,pl-ekstraklasa,poland_top_3,WPL,pl-ekstraklasa,2026-27,active,
pl-zaglebie-lubin,KGHM Zaglebie Arena,Zaglebie Lubin,Ekstraklasa,Lubin,51.4008,16.2015,pl,pl-ekstraklasa,poland_top_3,ZAG,pl-ekstraklasa,2026-27,active,
pl-arka-gdynia,GOSiR Stadium,Arka Gdynia,I liga,Gdynia,54.5189,18.5305,pl,pl-i-liga,poland_top_3,ARK,pl-i-liga,2026-27,active,
pl-bruk-bet-termalica,Bruk-Bet Stadium,Bruk-Bet Termalica Nieciecza,I liga,Nieciecza,50.0521,20.8477,pl,pl-i-liga,poland_top_3,BBT,pl-i-liga,2026-27,active,
pl-chrobry-glogow,GOS Stadium,Chrobry Glogow,I liga,Glogow,51.6636,16.0845,pl,pl-i-liga,poland_top_3,CHR,pl-i-liga,2026-27,active,
pl-lechia-gdansk,Polsat Plus Arena Gdansk,Lechia Gdansk,I liga,Gdansk,54.352,18.6466,pl,pl-i-liga,poland_top_3,LGD,pl-i-liga,2026-27,active,
pl-lks-lodz,Wladyslaw Krol Stadium,LKS Lodz,I liga,Lodz,51.7592,19.456,pl,pl-i-liga,poland_top_3,LKS,pl-i-liga,2026-27,active,
pl-miedz-legnica,White Eagle Stadium,Miedz Legnica,I liga,Legnica,51.207,16.155,pl,pl-i-liga,poland_top_3,MIE,pl-i-liga,2026-27,active,
pl-odra-opole,Itaka Arena,Odra Opole,I liga,Opole,50.6751,17.9213,pl,pl-i-liga,poland_top_3,ODR,pl-i-liga,2026-27,active,
pl-podbeskidzie,BBOSiR Stadium,Podbeskidzie Bielsko-Biala,I liga,Bielsko-Biala,49.8224,19.0444,pl,pl-i-liga,poland_top_3,POD,pl-i-liga,2026-27,active,
