id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
pt-academico-viseu,Estádio Municipal do Fontelo,Academico Viseu,Liga Portugal,Viseu,40.6617,-7.9123,pt,pt-liga-portugal,portugal_top_3,AVC,pt-liga-portugal,2026-27,active,
pt-alverca,Complexo Desportivo FC Alverca,Alverca,Liga Portugal,Alverca do Ribatejo,38.8912,-9.0389,pt,pt-liga-portugal,portugal_top_3,ALV,pt-liga-portugal,2026-27,active,
pt-arouca,Estádio Municipal de Arouca,Arouca,Liga Portugal,Arouca,40.9277,-8.2455,pt,pt-liga-portugal,portugal_top_3,ARO,pt-liga-portugal,2026-27,active,
pt-benfica,Estádio da Luz,Benfica,Liga Portugal,Lisbon,38.7528,-9.1847,pt,pt-liga-portugal,portugal_top_3,BEN,pt-liga-portugal,2026-27,active,
pt-braga,Estádio Municipal de Braga,Braga,Liga Portugal,Braga,41.5620,-8.4306,pt,pt-liga-portugal,portugal_top_3,BRA,pt-liga-portugal,2026-27,active,
pt-casa-pia,Estádio Municipal de Rio Maior,Casa Pia,Liga Portugal,Rio Maior,39.3370,-8.9390,pt,pt-liga-portugal,portugal_top_3,CPA,pt-liga-portugal,2026-27,active,
pt-estoril-praia,Estádio António Coimbra da Mota,Estoril Praia,Liga Portugal,Estoril,38.7078,-9.3908,pt,pt-liga-portugal,portugal_top_3,EPS,pt-liga-portugal,2026-27,active,
pt-estrela,Estádio José Gomes,Estrela,Liga Portugal,Amadora,38.7598,-9.2370,pt,pt-liga-portugal,portugal_top_3,EST,pt-liga-portugal,2026-27,active,
pt-famalicao,Estádio Municipal de Famalicão,Famalicao,Liga Portugal,Vila Nova de Famalicão,41.4078,-8.5223,pt,pt-liga-portugal,portugal_top_3,FAM,pt-liga-portugal,2026-27,active,
pt-gil-vicente,Estádio Cidade de Barcelos,Gil Vicente,Liga Portugal,Barcelos,41.5484,-8.6177,pt,pt-liga-portugal,portugal_top_3,GVI,pt-liga-portugal,2026-27,active,
pt-maritimo,Estádio do Marítimo,Maritimo,Liga Portugal,Funchal,32.6488,-16.9292,pt,pt-liga-portugal,portugal_top_3,MAR,pt-liga-portugal,2026-27,active,
pt-moreirense,Estádio Comendador Joaquim de Almeida Freitas,Moreirense,Liga Portugal,Guimarães,41.3809,-8.3553,pt,pt-liga-portugal,portugal_top_3,MOR,pt-liga-portugal,2026-27,active,
