club_id,competition_id,season_id,membership_status,is_primary
es-alaves,es-la-liga,2025-26,historical,false
es-ath-bilbao,es-la-liga,2025-26,historical,false
es-atl-madrid,es-la-liga,2025-26,historical,false
es-barcelona,es-la-liga,2025-26,historical,false
es-betis,es-la-liga,2025-26,historical,false
es-celta-vigo,es-la-liga,2025-26,historical,false
es-elche,es-la-liga,2025-26,historical,false
es-espanyol,es-la-liga,2025-26,historical,false
es-getafe,es-la-liga,2025-26,historical,false
es-girona,es-la-liga,2025-26,historical,false
es-levante,es-la-liga,2025-26,historical,false
es-mallorca,es-la-liga,2025-26,historical,false
es-osasuna,es-la-liga,2025-26,historical,false
es-oviedo,es-la-liga,2025-26,historical,false
es-real-madrid,es-la-liga,2025-26,historical,false
es-real-sociedad,es-la-liga,2025-26,historical,false
es-sevilla,es-la-liga,2025-26,historical,false
es-valencia,es-la-liga,2025-26,historical,false
es-vallecano,es-la-liga,2025-26,historical,false
es-villarreal,es-la-liga,2025-26,historical,false
es-ad-merida,es-primera-federacion-gruppe-1,2025-26,historical,false
es-arenas-getxo,es-primera-federacion-gruppe-1,2025-26,historical,false
es-arenteiro,es-primera-federacion-gruppe-1,2025-26,historical,false
es-ath-bilbao-b,es-primera-federacion-gruppe-1,2025-26,historical,false
es-barakaldo,es-primera-federacion-gruppe-1,2025-26,historical,false
es-cf-talavera,es-primera-federacion-gruppe-1,2025-26,historical,false
es-cacereno,es-primera-federacion-gruppe-1,2025-26,historical,false
es-celta-vigo-b,es-primera-federacion-gruppe-1,2025-26,historical,false
es-ferrol,es-primera-federacion-gruppe-1,2025-26,historical,false
es-guadalajara,es-primera-federacion-gruppe-1,2025-26,historical,false
es-lugo,es-primera-federacion-gruppe-1,2025-26,historical,false
es-osasuna-b,es-primera-federacion-gruppe-1,2025-26,historical,false
es-ourense-cf,es-primera-federacion-gruppe-1,2025-26,historical,false
es-ponferradina,es-primera-federacion-gruppe-1,2025-26,historical,false
es-pontevedra,es-primera-federacion-gruppe-1,2025-26,historical,false
es-real-aviles,es-primera-federacion-gruppe-1,2025-26,historical,false
es-real-madrid-b,es-primera-federacion-gruppe-1,2025-26,historical,false
es-tenerife,es-primera-federacion-gruppe-1,2025-26,historical,false
es-unionistas,es-primera-federacion-gruppe-1,2025-26,historical,false
es-zamora,es-primera-federacion-gruppe-1,2025-26,historical,false
es-alcorcon,es-primera-federacion-gruppe-2,2025-26,historical,false
es-algeciras-cf,es-primera-federacion-gruppe-2,2025-26,historical,false
es-antequera,es-primera-federacion-gruppe-2,2025-26,historical,false
es-atl-madrid-b,es-primera-federacion-gruppe-2,2025-26,historical,false
es-betis-b,es-primera-federacion-gruppe-2,2025-26,historical,false
es-ce-europa,es-primera-federacion-gruppe-2,2025-26,historical,false
es-cartagena,es-primera-federacion-gruppe-2,2025-26,historical,false
es-eldense,es-primera-federacion-gruppe-2,2025-26,historical,false
es-gimnastic,es-primera-federacion-gruppe-2,2025-26,historical,false
es-hercules,es-primera-federacion-gruppe-2,2025-26,historical,false
es-murcia,es-primera-federacion-gruppe-2,2025-26,historical,false
es-sabadell,es-primera-federacion-gruppe-2,2025-26,historical,false
es-sanluqueno,es-primera-federacion-gruppe-2,2025-26,historical,false
es-sevilla-b,es-primera-federacion-gruppe-2,2025-26,historical,false
es-tarazona,es-primera-federacion-gruppe-2,2025-26,historical,false
es-teruel,es-primera-federacion-gruppe-2,2025-26,historical,false
es-torremolinos,es-primera-federacion-gruppe-2,2025-26,historical,false
es-ud-ibiza,es-primera-federacion-gruppe-2,2025-26,historical,false
es-ud-marbella,es-primera-federacion-gruppe-2,2025-26,historical,false
es-villarreal-b,es-primera-federacion-gruppe-2,2025-26,historical,false
es-albacete,es-segunda-division,2025-26,historical,false
es-almeria,es-segunda-division,2025-26,historical,false
es-andorra,es-segunda-division,2025-26,historical,false
es-burgos-cf,es-segunda-division,2025-26,historical,false
es-cadiz,es-segunda-division,2025-26,historical,false
es-castellon,es-segunda-division,2025-26,historical,false
es-ceuta,es-segunda-division,2025-26,historical,false
es-cordoba,es-segunda-division,2025-26,historical,false
es-cultural-leonesa,es-segunda-division,2025-26,historical,false
es-eibar,es-segunda-division,2025-26,historical,false
es-gijon,es-segunda-division,2025-26,historical,false
es-granada,es-segunda-division,2025-26,historical,false
es-huesca,es-segunda-division,2025-26,historical,false
es-la-coruna,es-segunda-division,2025-26,historical,false
es-las-palmas,es-segunda-division,2025-26,historical,false
es-leganes,es-segunda-division,2025-26,historical,false
es-malaga,es-segunda-division,2025-26,historical,false
es-mirandes,es-segunda-division,2025-26,historical,false
es-racing-santander,es-segunda-division,2025-26,historical,false
es-real-sociedad-b,es-segunda-division,2025-26,historical,false
es-valladolid,es-segunda-division,2025-26,historical,false
es-zaragoza,es-segunda-division,2025-26,historical,false
