id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
es-alaves,Campo de Fútbol de Mendizorrotza,Alaves,La Liga,Vitoria-Gasteiz,42.850584,-2.66145,es,es-la-liga,spain_top_4,ALA,es-la-liga,2026-27,active,
es-ath-bilbao,Estadio San Mamés,Ath. Bilbao,La Liga,Bilbao,43.264204,-2.949391,es,es-la-liga,spain_top_4,ABT,es-la-liga,2026-27,active,
es-atl-madrid,Estadio Riyadh Air Metropolitano,Atl. Madrid,La Liga,Madrid,40.436053,-3.599715,es,es-la-liga,spain_top_4,AMT,es-la-liga,2026-27,active,
es-barcelona,Camp Nou,Barcelona,La Liga,Barcelona,41.380778,2.115649,es,es-la-liga,spain_top_4,BAR,es-la-liga,2026-27,active,
es-betis,Estadio Olímpico de la Cartuja,Betis,La Liga,Seville,37.38863,-5.99534,es,es-la-liga,spain_top_4,BET,es-la-liga,2026-27,active,
es-celta-vigo,Estadio ABANCA Balaídos,Celta Vigo,La Liga,Vigo,42.211766,-8.739666,es,es-la-liga,spain_top_4,CVE,es-la-liga,2026-27,active,
es-elche,Estadio Martínez Valero,Elche,La Liga,Elche,38.267044,-0.663305,es,es-la-liga,spain_top_4,ELC,es-la-liga,2026-27,active,
es-espanyol,RCDE Stadium,Espanyol,La Liga,Cornellà de Llobregat,41.347857,2.076458,es,es-la-liga,spain_top_4,ESP,es-la-liga,2026-27,active,
es-getafe,Estadio Coliseum,Getafe,La Liga,Getafe,40.325725,-3.714933,es,es-la-liga,spain_top_4,GET,es-la-liga,2026-27,active,
es-levante,Estadio Ciutat de València,Levante,La Liga,Valencia,39.494642,-0.363862,es,es-la-liga,spain_top_4,LEV,es-la-liga,2026-27,active,
es-osasuna,Estadio El Sadar,Osasuna,La Liga,Pamplona,42.796662,-1.637131,es,es-la-liga,spain_top_4,OSA,es-la-liga,2026-27,active,
es-real-madrid,Bernabéu Stadium,Real Madrid,La Liga,Madrid,40.453057,-3.688353,es,es-la-liga,spain_top_4,RME,es-la-liga,2026-27,active,
es-real-sociedad,Reale Arena,Real Sociedad,La Liga,San Sebastián,43.30139,-1.973569,es,es-la-liga,spain_top_4,RSE,es-la-liga,2026-27,active,
es-sevilla,Estadio Ramón Sánchez-Pizjuán,Sevilla,La Liga,Seville,37.384088,-5.970631,es,es-la-liga,spain_top_4,SEV,es-la-liga,2026-27,active,
es-valencia,Camp de Mestalla,Valencia,La Liga,Valencia,39.473616,-0.366972,es,es-la-liga,spain_top_4,VAL,es-la-liga,2026-27,active,
es-vallecano,El Campo de Fútbol de Vallecas,Vallecano,La Liga,Madrid,40.369708,-3.657734,es,es-la-liga,spain_top_4,VA2,es-la-liga,2026-27,active,
es-villarreal,Estadio de la Cerámica,Villarreal,La Liga,Villarreal,39.944208,-0.103405,es,es-la-liga,spain_top_4,VIL,es-la-liga,2026-27,active,
es-racing-santander,Stadium El Sardinero,Racing Santander,La Liga,Santander,43.476261,-3.793953,es,es-la-liga,spain_top_4,RSA,es-la-liga,2026-27,active,
es-la-coruna,Estadio ABANCA-RIAZOR,La Coruna,La Liga,A Coruña,43.368716,-8.41751,es,es-la-liga,spain_top_4,LCA,es-la-liga,2026-27,active,
es-malaga,La Rosaleda Stadium,Malaga,La Liga,Málaga,36.734943,-4.426535,es,es-la-liga,spain_top_4,MAL,es-la-liga,2026-27,active,
es-albacete,Estadio Carlos Belmonte,Albacete,Segunda División,Albacete,38.981082,-1.852144,es,es-segunda-division,spain_top_4,ALB,es-segunda-division,2026-27,active,
es-almeria,UD Almería Stadium,Almeria,Segunda División,Almería,36.868574,-2.312028,es,es-segunda-division,spain_top_4,ALM,es-segunda-division,2026-27,active,
es-andorra,Nou Estadi Encamp,Andorra,Segunda División,Encamp,42.533508,1.574863,es,es-segunda-division,spain_top_4,AND,es-segunda-division,2026-27,active,
