id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
dk-aab,Aalborg Portland Park,AaB,1. division,Aalborg,57.0516959723898,9.89852188383537,dk,dk-1-division,core_denmark,AaB,dk-1-division,2026-27,active,
dk-aarhus-fremad,Riisvangen Stadion,Aarhus Fremad,1. division,Aarhus,56.1795913759225,10.2121272616921,dk,dk-1-division,core_denmark,AAF,dk-1-division,2026-27,active,
dk-ab,Gladsaxe Stadion,AB,1. division,Gladsaxe,55.7329348863145,12.4972067660195,dk,dk-1-division,core_denmark,AB,dk-1-division,2026-27,active,
dk-ac-horsens,Nordstern Arena Horsens,AC Horsens,Superliga,Horsens,55.8710885385097,9.85772155979409,dk,dk-superliga,core_denmark,ACH,dk-superliga,2026-27,active,
dk-agf,Ceres Park Vejlby,AGF,Superliga,Aarhus,56.19262,10.21018,dk,dk-superliga,core_denmark,AGF,dk-superliga,2026-27,active,
dk-b-93,Østebro Stadion,B.93,2. division,København,55.7042123436486,12.5748493107378,dk,dk-2-division,core_denmark,B93,dk-2-division,2026-27,active,
dk-brondby-if,Brøndby Stadion,Brøndby IF,Superliga,Brøndby,55.64852,12.41903,dk,dk-superliga,core_denmark,BIF,dk-superliga,2026-27,active,
dk-brabrand-if,Brabrand IF's Idrætsanlæg,Brabrand IF,2. division,Brabrand,56.1485763136217,10.1185003697454,dk,dk-2-division,core_denmark,BRA,dk-2-division,2026-27,active,
dk-bronshoj,Tingbjerg Idrætspark,Brønshøj,3. division,Brønshøj,55.7188186759933,12.493001215748,dk,dk-3-division,core_denmark,BSJ,dk-3-division,2026-27,active,
dk-esbjerg-fb,Blue Water Arena,Esbjerg fB,1. division,Esbjerg,55.4821658224108,8.43954519233529,dk,dk-1-division,core_denmark,EFB,dk-1-division,2026-27,active,
dk-fa-2000,Frederiksberg IP,FA 2000,2. division,Frederiksberg,55.6811199554474,12.4993036697168,dk,dk-2-division,core_denmark,FA2,dk-2-division,2026-27,active,
dk-fremad-amager,Sundby Idrætspark,Fremad Amager,2. division,København,55.650114124731,12.6011449157438,dk,dk-2-division,core_denmark,FAM,dk-2-division,2026-27,active,
dk-fc-fredericia,Monjasa Park,FC Fredericia,1. division,Fredericia,55.57829,9.73136,dk,dk-1-division,core_denmark,FCF,dk-1-division,2026-27,active,
dk-fc-kobenhavn,Parken,F.C. København,Superliga,København,55.70322,12.57197,dk,dk-superliga,core_denmark,FCK,dk-superliga,2026-27,active,
dk-fc-midtjylland,MCH Arena,FC Midtjylland,Superliga,Herning,56.11694,8.95148,dk,dk-superliga,core_denmark,FCM,dk-superliga,2026-27,active,
dk-fc-nordsjaelland,Right to Dream Park,FC Nordsjælland,Superliga,Farum,55.81567,12.35214,dk,dk-superliga,core_denmark,FCN,dk-superliga,2026-27,active,
dk-frem,Valby Idrætspark,Frem,3. division,København,55.6471227571063,12.5129358569653,dk,dk-3-division,core_denmark,FRE,dk-3-division,2026-27,active,
dk-hb-koge,Capelli Sport Stadion,HB Køge,1. division,Køge,55.4686341170291,12.1768118395592,dk,dk-1-division,core_denmark,HBK,dk-1-division,2026-27,active,
dk-fc-helsingor,Helsingør Stadion,FC Helsingør,3. division,Helsingør,56.0465132417449,12.5844512438363,dk,dk-3-division,core_denmark,HEL,dk-3-division,2026-27,active,
dk-hik,Gentofte Sportspark,HIK,2. division,Hellerup,55.7573506038778,12.5270017538371,dk,dk-2-division,core_denmark,HIK,dk-2-division,2026-27,active,
dk-hillerod-fodbold,Hillerød Stadion,Hillerød Fodbold,1. division,Hillerød,55.9446965942225,12.2961146255542,dk,dk-1-division,core_denmark,HIL,dk-1-division,2026-27,active,
dk-hobro-ik,DS Arena,Hobro IK,1. division,Hobro,56.6351095813359,9.81985518195932,dk,dk-1-division,core_denmark,HOB,dk-1-division,2026-27,active,
dk-holbaek-bi,Holbæk Sportsby,Holbæk B&I,3. division,Holbæk,55.6983817250608,11.6861971014864,dk,dk-3-division,core_denmark,HOL,dk-3-division,2026-27,active,
dk-holstebro-boldklub,Holstebro Idrætspark,Holstebro Boldklub,3. division,Holstebro,56.36583,8.6308611,dk,dk-3-division,core_denmark,HBS,dk-3-division,2026-27,active,
dk-horsholm-usserod-ik,Hørsholm Idrætspark,Hørsholm-Usserød IK,3. division,Hørsholm,55.8962392949086,12.5148313446898,dk,dk-3-division,core_denmark,HUI,dk-3-division,2026-27,active,
dk-hvidovre-if,PRO Ventilation Arena,Hvidovre IF,1. division,Hvidovre,55.6313487955182,12.4828832414193,dk,dk-1-division,core_denmark,HVI,dk-1-division,2026-27,active,
dk-ishoj-if,Ishøj Idrætscenter,Ishøj IF,3. division,Ishøj,55.6166268383015,12.3693592427273,dk,dk-3-division,core_denmark,ISH,dk-3-division,2026-27,active,
dk-kolding-if,Autocentralen Park,Kolding IF,1. division,Kolding,55.4942075191721,9.45910440950349,dk,dk-1-division,core_denmark,KOL,dk-1-division,2026-27,active,
dk-lyngby-boldklub,Lyngby Stadion,Lyngby Boldklub,Superliga,Kongens Lyngby,55.7816265398433,12.5080822678727,dk,dk-superliga,core_denmark,LYN,dk-superliga,2026-27,active,
dk-if-lyseng,Lyseng Idrætspark,IF Lyseng,Nedrykkere,Højbjerg,56.1122982397632,10.19435835255,dk,,core_denmark,LYS,,2026-27,relegated,
dk-middelfart,Middelfart Sparekasse Stadion,Middelfart,2. division,Middelfart,55.5064135309227,9.73372668504236,dk,dk-2-division,core_denmark,MID,dk-2-division,2026-27,active,
dk-naesby-bk,Alpi Arena Næsby,Næsby BK,3. division,Odense,55.4332640190153,10.3407493715518,dk,dk-3-division,core_denmark,NAB,dk-3-division,2026-27,active,
dk-naestved,MTM Service Park,Næstved,2. division,Næstved,55.2226052804417,11.7665970875364,dk,dk-2-division,core_denmark,NAS,dk-2-division,2026-27,active,
dk-nykobing-fc,Lollands Bank Park,Nykøbing FC,2. division,Nykøbing F,54.7724825799412,11.8759723524684,dk,dk-2-division,core_denmark,NYK,dk-2-division,2026-27,active,
dk-ob,Nature Energy Park,OB,Superliga,Odense,55.398,10.3501,dk,dk-superliga,core_denmark,OB,dk-superliga,2026-27,active,
dk-odder-fodbold,Spektrum Odder,Odder Fodbold,Nedrykkere,Odder,55.9784592128052,10.1531481427494,dk,,core_denmark,ODD,,2026-27,relegated,
dk-randers-fc,Cepheus Park Randers,Randers FC,Superliga,Randers,56.46596,10.01029,dk,dk-superliga,core_denmark,RAN,dk-superliga,2026-27,active,
dk-asa-aarhus,Robotize Park,ASA Aarhus,3. division,Aarhus,56.14734,10.19858,dk,dk-3-division,core_denmark,ASA,dk-3-division,2026-27,active,
dk-ringsted-if,Ringsted Stadion,Ringsted IF,3. division,Ringsted,55.44676346243488,11.807688628276336,dk,dk-3-division,core_denmark,RIF,dk-3-division,2026-27,active,
dk-fc-roskilde,Roskilde Idrætspark,FC Roskilde,2. division,Roskilde,55.6369153829245,12.0736958182476,dk,dk-2-division,core_denmark,ROS,dk-2-division,2026-27,active,
dk-silkeborg-if,JYSK Park,Silkeborg IF,Superliga,Silkeborg,56.18475,9.57424,dk,dk-superliga,core_denmark,SIF,dk-superliga,2026-27,active,
dk-sonderjyske,Sydbank Park,Sønderjyske Fodbold,Superliga,Haderslev,55.2614,9.48767,dk,dk-superliga,core_denmark,SJE,dk-superliga,2026-27,active,
dk-skive,Hancock Arena,Skive,2. division,Skive,56.568069493638,9.0379069753219,dk,dk-2-division,core_denmark,SKI,dk-2-division,2026-27,active,
