club_id,competition_id,season_id,membership_status,is_primary
se-aik,se-allsvenskan,2025,historical,false
se-bk-hacken,se-allsvenskan,2025,historical,false
se-degerfors-if,se-allsvenskan,2025,historical,false
se-djurgardens-if,se-allsvenskan,2025,historical,false
se-gais,se-allsvenskan,2025,historical,false
se-halmstads-bk,se-allsvenskan,2025,historical,false
se-hammarby-if,se-allsvenskan,2025,historical,false
se-if-brommapojkarna,se-allsvenskan,2025,historical,false
se-if-elfsborg,se-allsvenskan,2025,historical,false
se-ifk-goteborg,se-allsvenskan,2025,historical,false
se-ik-sirius,se-allsvenskan,2025,historical,false
se-malmo-ff,se-allsvenskan,2025,historical,false
se-mjallby-aif,se-allsvenskan,2025,historical,false
se-kalmar-ff,se-superettan,2025,historical,false
se-orgryte-is,se-superettan,2025,historical,false
se-vasteras-sk,se-superettan,2025,historical,false
se-falkenbergs-ff,se-superettan,2025,historical,false
se-gif-sundsvall,se-superettan,2025,historical,false
se-helsingborgs-if,se-superettan,2025,historical,false
se-ifk-norrkoping,se-allsvenskan,2025,historical,false
se-ifk-varnamo,se-allsvenskan,2025,historical,false
se-ik-brage,se-superettan,2025,historical,false
se-ik-oddevold,se-superettan,2025,historical,false
se-landskrona-bois,se-superettan,2025,historical,false
se-orebro-sk,se-superettan,2025,historical,false
se-osters-if,se-allsvenskan,2025,historical,false
se-ostersunds-fk,se-superettan,2025,historical,false
se-sandvikens-if,se-superettan,2025,historical,false
se-varbergs-bois,se-superettan,2025,historical,false
se-ljungskile-sk,se-ettan-sodra,2025,historical,false
se-nordic-united,se-ettan-norra,2025,historical,false
se-norrby-if,se-ettan-sodra,2025,historical,false
se-afc-eskilstuna,se-ettan-norra,2025,historical,false
se-assyriska-ff,se-ettan-norra,2025,historical,false
se-enkopings-sk,se-ettan-norra,2025,historical,false
se-fbk-karlstad,se-division-2,2025,historical,false
se-fc-arlanda,se-ettan-norra,2025,historical,false
se-fc-jarfalla,se-division-2,2025,historical,false
se-gefle,se-ettan-norra,2025,historical,false
se-hammarby-tff,se-ettan-norra,2025,historical,false
se-if-karlstad,se-ettan-norra,2025,historical,false
se-ifk-stocksund,se-ettan-norra,2025,historical,false
se-karlbergs-bk,se-ettan-norra,2025,historical,false
se-pitea-if,se-division-2,2025,historical,false
se-sollentuna-fk,se-ettan-norra,2025,historical,false
se-stockholm-internazionale,se-ettan-norra,2025,historical,false
se-umea-fc,se-superettan,2025,historical,false
se-vasalund,se-ettan-norra,2025,historical,false
se-ariana-fc,se-ettan-sodra,2025,historical,false
se-bk-olympic,se-ettan-sodra,2025,historical,false
se-eskilsminne,se-ettan-sodra,2025,historical,false
se-fc-rosengard,se-ettan-sodra,2025,historical,false
se-hassleholms-if,se-ettan-sodra,2025,historical,false
se-jonkopings-sodra,se-ettan-sodra,2025,historical,false
se-kristianstad-fc,se-division-2,2025,historical,false
se-laholms-fk,se-division-2,2025,historical,false
se-lunds-bk,se-ettan-sodra,2025,historical,false
se-skovde-aik,se-ettan-sodra,2025,historical,false
se-trelleborg,se-superettan,2025,historical,false
se-trollhattan,se-ettan-sodra,2025,historical,false
se-tvaaakers-if,se-division-2,2025,historical,false
se-utsiktens-bk,se-superettan,2025,historical,false
se-atvidaberg,se-division-2,2025,historical,false
se-angelholms-ff,se-ettan-sodra,2025,historical,false
se-ifk-haninge,se-ettan-norra,2025,historical,false
se-team-tg,se-ettan-norra,2025,historical,false
se-orebro-syrianska,se-ettan-norra,2025,historical,false
se-husqvarna-ff,se-ettan-sodra,2025,historical,false
se-oskarshamns-aik,se-ettan-sodra,2025,historical,false
se-ifk-skovde,se-ettan-sodra,2025,historical,false
se-torslanda-ik,se-ettan-sodra,2025,historical,false
