id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
se-aik,Strawberry Arena,AIK,Allsvenskan,Solna,59.3726,18.0008,se,se-allsvenskan,sweden_top_3,AIK,se-allsvenskan,2026,active,
se-bk-hacken,Bravida Arena,BK Häcken,Allsvenskan,Gothenburg,57.7086,11.9206,se,se-allsvenskan,sweden_top_3,HAC,se-allsvenskan,2026,active,
se-degerfors-if,Stora Valla,Degerfors IF,Allsvenskan,Degerfors,59.239816,14.439504,se,se-allsvenskan,sweden_top_3,DEG,se-allsvenskan,2026,active,
se-djurgardens-if,3Arena,Djurgårdens IF,Allsvenskan,Stockholm,59.2936,18.0838,se,se-allsvenskan,sweden_top_3,DJU,se-allsvenskan,2026,active,
se-gais,Gamla Ullevi,GAIS,Allsvenskan,Gothenburg,57.7088,11.9808,se,se-allsvenskan,sweden_top_3,GAI,se-allsvenskan,2026,active,
se-halmstads-bk,Örjans Vall,Halmstads BK,Allsvenskan,Halmstad,56.684904,12.867997,se,se-allsvenskan,sweden_top_3,HAL,se-allsvenskan,2026,active,
se-hammarby-if,3Arena,Hammarby IF,Allsvenskan,Stockholm,59.2936,18.0838,se,se-allsvenskan,sweden_top_3,HAM,se-allsvenskan,2026,active,
se-if-brommapojkarna,Grimsta IP,IF Brommapojkarna,Allsvenskan,Stockholm,59.3409,17.8985,se,se-allsvenskan,sweden_top_3,BP,se-allsvenskan,2026,active,
se-if-elfsborg,Borås Arena,IF Elfsborg,Allsvenskan,Borås,57.7344,12.934766,se,se-allsvenskan,sweden_top_3,ELF,se-allsvenskan,2026,active,
se-ifk-goteborg,Gamla Ullevi,IFK Göteborg,Allsvenskan,Gothenburg,57.7088,11.9808,se,se-allsvenskan,sweden_top_3,IFK,se-allsvenskan,2026,active,
se-ik-sirius,Studenternas IP,IK Sirius,Allsvenskan,Uppsala,59.848657,17.646331,se,se-allsvenskan,sweden_top_3,SIR,se-allsvenskan,2026,active,
se-kalmar-ff,Guldfågeln Arena,Kalmar FF,Allsvenskan,Kalmar,56.691286,16.314012,se,se-allsvenskan,sweden_top_3,KAL,se-allsvenskan,2026,active,
se-malmo-ff,Eleda Stadion,Malmö FF,Allsvenskan,Malmö,55.583734,12.987735,se,se-allsvenskan,sweden_top_3,MFF,se-allsvenskan,2026,active,
se-mjallby-aif,Strandvallen,Mjällby AIF,Allsvenskan,Hällevik,56.01218,14.717173,se,se-allsvenskan,sweden_top_3,MJA,se-allsvenskan,2026,active,
se-orgryte-is,Gamla Ullevi,Örgryte IS,Allsvenskan,Gothenburg,57.7088,11.9808,se,se-allsvenskan,sweden_top_3,ORG,se-allsvenskan,2026,active,
se-vasteras-sk,Hitachi Energy Arena,Västerås SK,Allsvenskan,Västerås,59.627542,16.530688,se,se-allsvenskan,sweden_top_3,VSK,se-allsvenskan,2026,active,
se-falkenbergs-ff,Falcon Alkoholfri Arena,Falkenbergs FF,Superettan,Falkenberg,56.893512,12.511116,se,se-superettan,sweden_top_3,FAF,se-superettan,2026,active,
se-gif-sundsvall,Idrottsparken,GIF Sundsvall,Superettan,Sundsvall,62.394094,17.301143,se,se-superettan,sweden_top_3,GIF,se-superettan,2026,active,
se-helsingborgs-if,Olympia,Helsingborgs IF,Superettan,Helsingborg,56.049991,12.707762,se,se-superettan,sweden_top_3,HIF,se-superettan,2026,active,
se-ifk-norrkoping,Idrottsparken,IFK Norrköping,Superettan,Norrköping,58.584393,16.172058,se,se-superettan,sweden_top_3,NRK,se-superettan,2026,active,
se-ifk-varnamo,Finnvedsvallen,IFK Värnamo,Superettan,Värnamo,57.195883,14.042727,se,se-superettan,sweden_top_3,VAR,se-superettan,2026,active,
se-ik-brage,Borlänge Energi Arena,IK Brage,Superettan,Borlänge,60.494729,15.433774,se,se-superettan,sweden_top_3,BRA,se-superettan,2026,active,
se-ik-oddevold,Rimnersvallen,IK Oddevold,Superettan,Uddevalla,58.357058,11.949299,se,se-superettan,sweden_top_3,ODD,se-superettan,2026,active,
se-landskrona-bois,Landskrona IP,Landskrona BoIS,Superettan,Landskrona,55.889887,12.837685,se,se-superettan,sweden_top_3,LAN,se-superettan,2026,active,
se-ljungskile-sk,Skarsjövallen,Ljungskile SK,Superettan,Ljungskile,58.216505,11.945076,se,se-superettan,sweden_top_3,LJU,se-superettan,2026,active,
se-nordic-united,Södertälje Fotbollsarena,Nordic United,Superettan,Södertälje,59.195833,17.628056,se,se-superettan,sweden_top_3,NUN,se-superettan,2026,active,
se-norrby-if,Borås Arena,Norrby IF,Superettan,Borås,57.7344,12.934766,se,se-superettan,sweden_top_3,NOR,se-superettan,2026,active,
se-sandvikens-if,Jernvallen,Sandvikens IF,Superettan,Sandviken,60.608131,16.772484,se,se-superettan,sweden_top_3,SAN,se-superettan,2026,active,
se-varbergs-bois,Påskbergsvallen,Varbergs BoIS,Superettan,Varberg,57.097747,12.265223,se,se-superettan,sweden_top_3,VBO,se-superettan,2026,active,
se-orebro-sk,Behrn Arena,Örebro SK,Superettan,Örebro,59.266283,15.223386,se,se-superettan,sweden_top_3,ORE,se-superettan,2026,active,
se-osters-if,Spiris Arena,Östers IF,Superettan,Växjö,56.879,14.8059,se,se-superettan,sweden_top_3,OST,se-superettan,2026,active,
se-ostersunds-fk,Jämtkraft Arena,Östersunds FK,Superettan,Östersund,63.1792,14.6357,se,se-superettan,sweden_top_3,OSU,se-superettan,2026,active,
se-afc-eskilstuna,Tunavallen,AFC Eskilstuna,Ettan Norra,Eskilstuna,59.3708,16.5097,se,se-ettan-norra,sweden_top_3,AFC,se-ettan-norra,2026,active,
se-assyriska-ff,Södertälje Fotbollsarena,Assyriska FF,Ettan Norra,Södertälje,59.195833,17.628056,se,se-ettan-norra,sweden_top_3,ASS,se-ettan-norra,2026,active,
se-enkopings-sk,Enavallen,Enköpings SK,Ettan Norra,Enköping,59.6362,17.0777,se,se-ettan-norra,sweden_top_3,ENK,se-ettan-norra,2026,active,
se-fbk-karlstad,Örsholmens IP,FBK Karlstad,Ettan Norra,Karlstad,59.3793,13.5036,se,se-ettan-norra,sweden_top_3,FBK,se-ettan-norra,2026,active,
se-fc-arlanda,Midgårdsvallen,FC Arlanda,Ettan Norra,Märsta,59.6216,17.8549,se,se-ettan-norra,sweden_top_3,ARL,se-ettan-norra,2026,active,
se-fc-jarfalla,Järfällavallen,FC Järfälla,Ettan Norra,Järfälla,59.4239,17.8351,se,se-ettan-norra,sweden_top_3,JAR,se-ettan-norra,2026,active,
se-gefle,Gavlevallen,Gefle,Ettan Norra,Gävle,60.6749,17.1413,se,se-ettan-norra,sweden_top_3,GEF,se-ettan-norra,2026,active,
se-hammarby-tff,Hammarby IP,Hammarby TFF,Ettan Norra,Stockholm,59.3071,18.0976,se,se-ettan-norra,sweden_top_3,HTF,se-ettan-norra,2026,active,
se-if-karlstad,Sola Arena,IF Karlstad,Ettan Norra,Karlstad,59.3793,13.5036,se,se-ettan-norra,sweden_top_3,IFK,se-ettan-norra,2026,active,
se-ifk-stocksund,Danderyds Gymnasium,IFK Stocksund,Ettan Norra,Danderyd,59.396,18.0369,se,se-ettan-norra,sweden_top_3,STO,se-ettan-norra,2026,active,
se-karlbergs-bk,Kristinebergs IP,Karlbergs BK,Ettan Norra,Stockholm,59.3403,18.0223,se,se-ettan-norra,sweden_top_3,KBK,se-ettan-norra,2026,active,
se-pitea-if,LF Arena,Piteå IF,Ettan Norra,Piteå,65.3172,21.4794,se,se-ettan-norra,sweden_top_3,PIT,se-ettan-norra,2026,active,
se-sollentuna-fk,Sollentunavallen,Sollentuna FK,Ettan Norra,Sollentuna,59.428,17.9509,se,se-ettan-norra,sweden_top_3,SOL,se-ettan-norra,2026,active,
se-stockholm-internazionale,Hammarby IP,Stockholm Internazionale,Ettan Norra,Stockholm,59.3071,18.0976,se,se-ettan-norra,sweden_top_3,STI,se-ettan-norra,2026,active,
se-umea-fc,Umeå Energi Arena,Umeå FC,Ettan Norra,Umeå,63.8258,20.263,se,se-ettan-norra,sweden_top_3,UME,se-ettan-norra,2026,active,
se-vasalund,Skytteholms IP,Vasalund,Ettan Norra,Solna,59.36,18.0,se,se-ettan-norra,sweden_top_3,VAS,se-ettan-norra,2026,active,
se-ariana-fc,Malmö IP,AFC Malmö,Ettan Södra,Malmö,55.605,13.0038,se,se-ettan-sodra,sweden_top_3,ARI,se-ettan-sodra,2026,active,
se-bk-olympic,Lindängens IP,BK Olympic,Ettan Södra,Malmö,55.605,13.0038,se,se-ettan-sodra,sweden_top_3,OLY,se-ettan-sodra,2026,active,
se-eskilsminne,Harlyckans IP,Eskilsminne,Ettan Södra,Helsingborg,56.0465,12.6945,se,se-ettan-sodra,sweden_top_3,ESK,se-ettan-sodra,2026,active,
se-fc-rosengard,Rosengårds IP,FC Rosengård,Ettan Södra,Malmö,55.5761,13.0475,se,se-ettan-sodra,sweden_top_3,ROS,se-ettan-sodra,2026,active,
se-hassleholms-if,Österås IP,Hässleholms IF,Ettan Södra,Hässleholm,56.1589,13.7668,se,se-ettan-sodra,sweden_top_3,HAS,se-ettan-sodra,2026,active,
se-jonkopings-sodra,Stadsparksvallen,Jönköpings Södra,Ettan Södra,Jönköping,57.7815,14.1562,se,se-ettan-sodra,sweden_top_3,JSO,se-ettan-sodra,2026,active,
se-kristianstad-fc,Kristianstads Fotbollsarena,Kristianstad FC,Ettan Södra,Kristianstad,56.0294,14.1567,se,se-ettan-sodra,sweden_top_3,KFC,se-ettan-sodra,2026,active,
se-laholms-fk,Glänninge Park,Laholms FK,Ettan Södra,Laholm,56.5121,13.0436,se,se-ettan-sodra,sweden_top_3,LAH,se-ettan-sodra,2026,active,
se-lunds-bk,Klostergårdens IP,Lunds BK,Ettan Södra,Lund,55.7047,13.191,se,se-ettan-sodra,sweden_top_3,LUN,se-ettan-sodra,2026,active,
se-skovde-aik,Södermalms IP,Skövde AIK,Ettan Södra,Skövde,58.3903,13.8461,se,se-ettan-sodra,sweden_top_3,SKA,se-ettan-sodra,2026,active,
se-trelleborg,Vångavallen,Trelleborg,Ettan Södra,Trelleborg,55.3762,13.1569,se,se-ettan-sodra,sweden_top_3,TRE,se-ettan-sodra,2026,active,
se-trollhattan,Edsborgs IP,Trollhättan,Ettan Södra,Trollhättan,58.2837,12.2886,se,se-ettan-sodra,sweden_top_3,TRH,se-ettan-sodra,2026,active,
se-tvaaakers-if,Övrevi IP,Tvååkers IF,Ettan Södra,Tvååker,57.0415,12.3991,se,se-ettan-sodra,sweden_top_3,TVA,se-ettan-sodra,2026,active,
se-utsiktens-bk,Bravida Arena,Utsiktens BK,Ettan Södra,Gothenburg,57.7089,11.9746,se,se-ettan-sodra,sweden_top_3,UTS,se-ettan-sodra,2026,active,
se-atvidaberg,Kopparvallen,Åtvidaberg,Ettan Södra,Åtvidaberg,58.2015,15.9985,se,se-ettan-sodra,sweden_top_3,ATV,se-ettan-sodra,2026,active,
se-angelholms-ff,Ängelholms IP,Ängelholms FF,Ettan Södra,Ängelholm,56.2428,12.862,se,se-ettan-sodra,sweden_top_3,ANG,se-ettan-sodra,2026,active,
se-ifk-haninge,Torvalla IP,IFK Haninge,Nedrykkere,Haninge,59.1677,18.1448,se,,sweden_top_3,HAN,,2026,relegated,
se-team-tg,Umeå Energi Arena,Team TG,Nedrykkere,Umeå,63.829409,20.2853,se,,sweden_top_3,TTG,,2026,relegated,
se-orebro-syrianska,Mellringe IP,Örebro Syrianska,Nedrykkere,Örebro,59.281396,15.196713,se,,sweden_top_3,OSY,,2026,relegated,
se-husqvarna-ff,Vapenvallen,Husqvarna FF,Nedrykkere,Huskvarna,57.782778,14.160556,se,,sweden_top_3,HUS,,2026,relegated,
se-oskarshamns-aik,Arena Oskarshamn,Oskarshamns AIK,Nedrykkere,Oskarshamn,57.264067,16.434185,se,,sweden_top_3,OSK,,2026,relegated,
se-ifk-skovde,Södermalms IP,IFK Skövde,Nedrykkere,Skövde,58.3903,13.8461,se,,sweden_top_3,ISK,,2026,relegated,
se-torslanda-ik,Torslandavallen,Torslanda IK,Nedrykkere,Gothenburg,57.7075,11.96751,se,,sweden_top_3,TOR,,2026,relegated,
