id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
tr-alanyaspor,Alanya Oba Stadium,Alanyaspor,Süper Lig,Alanya,36.8865728,30.7030242,tr,tr-super-lig,turkey_top_3,ALA,tr-super-lig,2025-26,active,
tr-antalyaspor,Corendon Airlines Park,Antalyaspor,Süper Lig,Antalya,36.88816,30.6684452,tr,tr-super-lig,turkey_top_3,ANT,tr-super-lig,2025-26,active,
tr-basaksehir,Fatih Terim Stadium,Başakşehir,Süper Lig,Başakşehir,41.1228067,28.8093852,tr,tr-super-lig,turkey_top_3,IBB,tr-super-lig,2025-26,active,
tr-besiktas,Tüpraş Stadium,Beşiktaş,Süper Lig,Beşiktaş,41.0394982,28.9943382,tr,tr-super-lig,turkey_top_3,BES,tr-super-lig,2025-26,active,
tr-eyupspor,Recep Tayyip Erdoğan Stadium,Eyüpspor,Süper Lig,Eyüpsultan,41.0327948,28.9723833,tr,tr-super-lig,turkey_top_3,EYP,tr-super-lig,2025-26,active,
tr-fatih-karagumruk,Atatürk Olympic Stadium,Fatih Karagümrük,Süper Lig,Fatih,41.0744732,28.7656611,tr,tr-super-lig,turkey_top_3,KAR,tr-super-lig,2025-26,active,
tr-fenerbahce,Chobani Stadium,Fenerbahçe,Süper Lig,Kadıköy,40.9875807,29.0369773,tr,tr-super-lig,turkey_top_3,FEN,tr-super-lig,2025-26,active,
tr-galatasaray,Rams Park,Galatasaray,Süper Lig,Sarıyer,41.103369,28.9909522,tr,tr-super-lig,turkey_top_3,GAL,tr-super-lig,2025-26,active,
tr-gaziantep,Gaziantep Stadium,Gaziantep,Süper Lig,Gaziantep,37.0628317,37.3792617,tr,tr-super-lig,turkey_top_3,GAZ,tr-super-lig,2025-26,active,
tr-genclerbirligi,Eryaman Stadium,Gençlerbirliği,Süper Lig,Yenimahalle,39.979993,32.6132207,tr,tr-super-lig,turkey_top_3,GEN,tr-super-lig,2025-26,active,
tr-goztepe,Gürsel Aksel Stadium,Göztepe,Süper Lig,İzmir,38.3967727,27.0764098,tr,tr-super-lig,turkey_top_3,GOZ,tr-super-lig,2025-26,active,
tr-kasimpasa,Recep Tayyip Erdoğan Stadium,Kasımpaşa,Süper Lig,Kasımpaşa,41.0327948,28.9723833,tr,tr-super-lig,turkey_top_3,KAS,tr-super-lig,2025-26,active,
tr-kayserispor,RHG Enertürk Enerji Stadium,Kayserispor,Süper Lig,Kayseri,38.73723,35.4224695,tr,tr-super-lig,turkey_top_3,KAY,tr-super-lig,2025-26,active,
tr-kocaelispor,Kocaeli Stadium,Kocaelispor,Süper Lig,İzmit,40.7750844,30.017023,tr,tr-super-lig,turkey_top_3,KOC,tr-super-lig,2025-26,active,
tr-konyaspor,Konya Metropolitan Municipality Stadium,Konyaspor,Süper Lig,Konya,37.946107,32.4880729,tr,tr-super-lig,turkey_top_3,KON,tr-super-lig,2025-26,active,
tr-rizespor,Rize City Stadium,Rizespor,Süper Lig,Rize,40.9569617,40.884428,tr,tr-super-lig,turkey_top_3,RIZ,tr-super-lig,2025-26,active,
tr-samsunspor,Samsun 19 Mayıs Stadium,Samsunspor,Süper Lig,Samsun,41.2303557,35.9683338,tr,tr-super-lig,turkey_top_3,SAM,tr-super-lig,2025-26,active,
tr-trabzonspor,Papara Park,Trabzonspor,Süper Lig,Trabzon,40.9986861,39.6453902,tr,tr-super-lig,turkey_top_3,TRA,tr-super-lig,2025-26,active,
tr-adana-demirspor,New Adana Stadium,Adana Demirspor,1. Lig,Adana,36.9863599,35.3252861,tr,tr-1-lig,turkey_top_3,ADA,tr-1-lig,2025-26,active,
tr-amedspor,Diyarbakır Stadium,Amedspor,1. Lig,Diyarbakır,37.9430838,40.1205233,tr,tr-1-lig,turkey_top_3,AME,tr-1-lig,2025-26,active,
tr-bandirmaspor,17 Eylül Stadium,Bandırmaspor,1. Lig,Bandırma,40.3382198,27.9840709,tr,tr-1-lig,turkey_top_3,BAN,tr-1-lig,2025-26,active,
tr-bodrumspor,Bodrum District Stadium,Bodrumspor,1. Lig,Bodrum,37.0343987,27.430651,tr,tr-1-lig,turkey_top_3,BOD,tr-1-lig,2025-26,active,tr-1-lig-playoffs
tr-boluspor,Bolu Atatürk Stadium,Boluspor,1. Lig,Bolu,40.7361755,31.6074996,tr,tr-1-lig,turkey_top_3,BOL,tr-1-lig,2025-26,active,
tr-corum,Çorum City Stadium,Çorum,1. Lig,Çorum,40.5698389,34.7269292,tr,tr-1-lig,turkey_top_3,COR,tr-1-lig,2025-26,active,tr-1-lig-playoffs
tr-erzurumspor,Kazım Karabekir Stadium,Erzurumspor,1. Lig,Erzurum,39.9111652,41.2381073,tr,tr-1-lig,turkey_top_3,ERZ,tr-1-lig,2025-26,active,
tr-esenler-erokspor,Esenler Stadium,Esenler Erokspor,1. Lig,Esenler,41.0539055,28.8793982,tr,tr-1-lig,turkey_top_3,ERO,tr-1-lig,2025-26,active,
tr-hatayspor,Fuat Tosyalı Stadium,Hatayspor,1. Lig,Antakya,36.2025574,36.1640991,tr,tr-1-lig,turkey_top_3,HAT,tr-1-lig,2025-26,active,
tr-igdir,Iğdır City Stadium,Iğdır,1. Lig,Iğdır,39.8945292,43.9427459,tr,tr-1-lig,turkey_top_3,IGD,tr-1-lig,2025-26,active,
tr-i-stanbulspor,Esenyurt Necmi Kadıoğlu Stadium,İstanbulspor,1. Lig,Büyükçekmece,41.021654,28.579757,tr,tr-1-lig,turkey_top_3,IST,tr-1-lig,2025-26,active,
tr-keciorengucu,Ankara Aktepe Stadium,Keçiörengücü,1. Lig,Keçiören,39.977713,32.8669801,tr,tr-1-lig,turkey_top_3,KEC,tr-1-lig,2025-26,active,
tr-manisa,Manisa 19 Mayıs Stadium,Manisa,1. Lig,Manisa,38.8574402,28.0565711,tr,tr-1-lig,turkey_top_3,MAN,tr-1-lig,2025-26,active,
tr-pendikspor,Pendik Stadium,Pendikspor,1. Lig,Pendik,40.8768715,29.2349672,tr,tr-1-lig,turkey_top_3,PEN,tr-1-lig,2025-26,active,
tr-sakaryaspor,New Sakarya Stadium,Sakaryaspor,1. Lig,Adapazarı,40.7805,30.4324,tr,tr-1-lig,turkey_top_3,SAK,tr-1-lig,2025-26,active,
tr-sariyer,Yusuf Ziya Öniş Stadium,Sarıyer,1. Lig,Sarıyer,41.1725,29.0503,tr,tr-1-lig,turkey_top_3,SAR,tr-1-lig,2025-26,active,
tr-serikspor,Serik İsmail Oğan Stadium,Serikspor,1. Lig,Serik,36.9165,31.1028,tr,tr-1-lig,turkey_top_3,SER,tr-1-lig,2025-26,active,
tr-sivasspor,New Sivas 4 Eylül Stadium,Sivasspor,1. Lig,Sivas,39.72833333,36.98388889,tr,tr-1-lig,turkey_top_3,SIV,tr-1-lig,2025-26,active,
tr-umraniyespor,Ümraniye Municipality City Stadium,Ümraniyespor,1. Lig,Ümraniye,41.03111111,29.10805556,tr,tr-1-lig,turkey_top_3,UMR,tr-1-lig,2025-26,active,
tr-vanspor,Van Atatürk Stadium,Vanspor,1. Lig,Van,38.4960867,43.3730708,tr,tr-1-lig,turkey_top_3,VAN,tr-1-lig,2025-26,active,
